glomerulus,weight,LN_total_connections,LN_to_PN_perct
DP1m,229,10864,0.02107879234167894
DM4,133,10864,0.012242268041237113
mPN,123,10864,0.01132179675994109
VC4,94,10864,0.008652430044182622
DP1l,78,10864,0.0071796759941089834
DL2v,71,10864,0.0065353460972017675
VL2p,62,10864,0.005706921944035346
DM1,59,10864,0.005430780559646539
VC3l,50,10864,0.004602356406480118
VM3,40,10864,0.003681885125184094
DA1,37,10864,0.0034057437407952872
VA2,34,10864,0.0031296023564064803
VM2,33,10864,0.003037555228276878
DM2,31,10864,0.002853460972017673
DL1,30,10864,0.002761413843888071
VM5v,30,10864,0.002761413843888071
VM5d,27,10864,0.0024852724594992635
DC3,25,10864,0.002301178203240059
VA3,23,10864,0.002117083946980854
VA1d,20,10864,0.001840942562592047
DL2d,18,10864,0.0016568483063328424
DM5,17,10864,0.0015648011782032401
VA4,15,10864,0.0013807069219440354
DM6,13,10864,0.0011966126656848307
VA7m,12,10864,0.0011045655375552283
DL5,11,10864,0.001012518409425626
VA6,10,10864,0.0009204712812960235
DC2,9,10864,0.0008284241531664212
VA7l,8,10864,0.0007363770250368188
VL2a,8,10864,0.0007363770250368188
VM7v,7,10864,0.0006443298969072165
VP1d,7,10864,0.0006443298969072165
DL4,4,10864,0.0003681885125184094
VC2,4,10864,0.0003681885125184094
VM7d,4,10864,0.0003681885125184094
VC3m,3,10864,0.00027614138438880706
VC5,3,10864,0.00027614138438880706
VA1v,2,10864,0.0001840942562592047
VC1,2,10864,0.0001840942562592047
DC4,1,10864,9.204712812960235e-05
DL3,1,10864,9.204712812960235e-05
VL1,1,10864,9.204712812960235e-05
VM1,1,10864,9.204712812960235e-05
VP4,1,10864,9.204712812960235e-05
