glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,66,1815,0.03636363636363636
DP1m,10,1815,0.005509641873278237
DM4,5,1815,0.0027548209366391185
VM5d,5,1815,0.0027548209366391185
V,3,1815,0.001652892561983471
VA7l,2,1815,0.0011019283746556473
DM5,1,1815,0.0005509641873278236
VA4,1,1815,0.0005509641873278236
VA7m,1,1815,0.0005509641873278236
VC1,1,1815,0.0005509641873278236
VC3l,1,1815,0.0005509641873278236
VC4,1,1815,0.0005509641873278236
VL2p,1,1815,0.0005509641873278236
VM7d,1,1815,0.0005509641873278236
