glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,318,9494,0.03349483884558668
VC3l,216,9494,0.0227512112913419
D,178,9494,0.018748683378976196
DC3,167,9494,0.01759005687802823
DC2,164,9494,0.017274067832315148
DC4,154,9494,0.01622077101327154
VM7v,120,9494,0.012639561828523278
DM6,118,9494,0.012428902464714557
VC4,114,9494,0.012007583737097115
DC1,112,9494,0.011796924373288392
VC2,103,9494,0.010848957236149146
DM1,102,9494,0.010743627554244786
VA7m,98,9494,0.010322308826627343
VP2,91,9494,0.00958500105329682
VM5v,70,9494,0.007373077733305245
DA2,68,9494,0.007162418369496524
DM5,66,9494,0.006951759005687803
VC3m,66,9494,0.006951759005687803
VM5d,66,9494,0.006951759005687803
VA3,64,9494,0.0067410996418790815
DM4,56,9494,0.005898462186644196
VM7d,49,9494,0.005161154413313672
DL1,45,9494,0.004739835685696229
VP1d,37,9494,0.003897198230461344
DA4m,30,9494,0.0031598904571308196
DL5,26,9494,0.0027385717295133768
VA1v,25,9494,0.002633242047609016
VA6,23,9494,0.002422582683800295
VM3,22,9494,0.0023172530018959344
VP1m,20,9494,0.0021065936380872128
VC1,13,9494,0.0013692858647566884
VP5,13,9494,0.0013692858647566884
VM1,10,9494,0.0010532968190436064
VP1l,9,9494,0.0009479671371392458
DA1,7,9494,0.0007373077733305245
VA1d,7,9494,0.0007373077733305245
VL1,7,9494,0.0007373077733305245
DM2,6,9494,0.0006319780914261639
DL2v,5,9494,0.0005266484095218032
VL2a,5,9494,0.0005266484095218032
VC5,3,9494,0.00031598904571308195
V,2,9494,0.0002106593638087213
VA2,2,9494,0.0002106593638087213
VM2,2,9494,0.0002106593638087213
DP1m,1,9494,0.00010532968190436065
VP3,1,9494,0.00010532968190436065
