glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,311,11812,0.026329156789705384
VP1d,170,11812,0.014392143582797156
DP1m,132,11812,0.011175076193701321
VL2p,106,11812,0.008973924822214697
V,83,11812,0.007026752455130376
VL1,83,11812,0.007026752455130376
VL2a,82,11812,0.006942092786996275
VC3m,76,11812,0.006434134778191669
DL2d,75,11812,0.006349475110057568
DL2v,75,11812,0.006349475110057568
DL1,69,11812,0.005841517101252963
DM1,63,11812,0.005333559092448358
DC2,60,11812,0.005079580088046055
VP2,58,11812,0.004910260751777853
DP1l,57,11812,0.004825601083643752
DC1,54,11812,0.004571622079241449
DM4,52,11812,0.0044023027429732475
DL5,51,11812,0.0043176430748391465
VA2,51,11812,0.0043176430748391465
VM5v,49,11812,0.004148323738570945
DA1,48,11812,0.004063664070436844
VM1,48,11812,0.004063664070436844
VC3l,47,11812,0.003979004402302743
VC4,47,11812,0.003979004402302743
VA1d,45,11812,0.0038096850660345413
VC5,44,11812,0.0037250253979004403
VC1,43,11812,0.0036403657297663394
VA4,42,11812,0.0035557060616322384
VM5d,40,11812,0.0033863867253640365
D,38,11812,0.0032170673890958346
VC2,38,11812,0.0032170673890958346
VP3,37,11812,0.0031324077209617337
VA3,33,11812,0.0027937690484253304
DA4m,31,11812,0.0026244497121571285
DC3,31,11812,0.0026244497121571285
DL3,30,11812,0.0025397900440230275
DM5,30,11812,0.0025397900440230275
VA5,29,11812,0.0024551303758889266
VM4,28,11812,0.0023704707077548256
VP1m,28,11812,0.0023704707077548256
VM7d,27,11812,0.0022858110396207247
VA1v,24,11812,0.002031832035218422
DM6,21,11812,0.0017778530308161192
VP4,20,11812,0.0016931933626820183
VM2,19,11812,0.0016085336945479173
DA2,16,11812,0.0013545546901456147
VA7m,16,11812,0.0013545546901456147
VA6,15,11812,0.0012698950220115138
DM2,14,11812,0.0011852353538774128
VM7v,14,11812,0.0011852353538774128
DA4l,13,11812,0.0011005756857433119
VM3,13,11812,0.0011005756857433119
DL4,12,11812,0.001015916017609211
VA7l,11,11812,0.0009312563494751101
DC4,6,11812,0.0005079580088046055
VP1l,3,11812,0.00025397900440230273
MZ,2,11812,0.00016931933626820184
VP5,2,11812,0.00016931933626820184
DA3,1,11812,8.465966813410092e-05
