glomerulus,weight,LN_total_connections,LN_to_PN_perct
DP1m,39,601,0.064891846921797
mPN,34,601,0.056572379367720464
VM7d,30,601,0.04991680532445923
VM5v,29,601,0.048252911813643926
VC3l,19,601,0.03161397670549085
DM4,18,601,0.029950083194675542
VM5d,14,601,0.02329450915141431
VM7v,14,601,0.02329450915141431
DL1,13,601,0.021630615640599003
DL2v,11,601,0.018302828618968387
DC4,8,601,0.013311148086522463
VA2,7,601,0.011647254575707155
VA7m,6,601,0.009983361064891847
DM5,5,601,0.008319467554076539
VM1,4,601,0.0066555740432612314
VA4,3,601,0.004991680532445923
VC4,3,601,0.004991680532445923
VC1,2,601,0.0033277870216306157
VM2,2,601,0.0033277870216306157
DM6,1,601,0.0016638935108153079
