glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,298,15993,0.01863315200400175
DP1m,259,15993,0.01619458513099481
DM4,117,15993,0.007315700619020821
VC3l,111,15993,0.006940536484712062
DL2d,108,15993,0.006752954417557681
VL2a,107,15993,0.006690427061839555
DM1,95,15993,0.0059400987932220345
DC1,87,15993,0.005439879947477021
DC2,86,15993,0.005377352591758895
DL1,85,15993,0.005314825236040768
VA1d,79,15993,0.004939661101732008
DA1,78,15993,0.004877133746013881
DM2,76,15993,0.004752079034577627
DC3,69,15993,0.004314387544550741
DP1l,69,15993,0.004314387544550741
VM5v,68,15993,0.004251860188832614
VP2,67,15993,0.004189332833114488
DL2v,61,15993,0.0038141686988057274
VP1d,61,15993,0.0038141686988057274
VP3,60,15993,0.003751641343087601
VC5,58,15993,0.0036265866316513473
VA1v,56,15993,0.0035015319202150942
DM6,51,15993,0.0031888951416244606
DL5,50,15993,0.003126367785906334
VM7d,49,15993,0.0030638404301882075
V,48,15993,0.0030013130744700805
D,47,15993,0.002938785718751954
DL3,43,15993,0.0026886762958794473
VA6,43,15993,0.0026886762958794473
VA2,39,15993,0.0024385668730069407
VA4,36,15993,0.0022509848058525606
VC1,33,15993,0.0020634027386981805
DM5,31,15993,0.001938348027261927
VC3m,26,15993,0.0016257112486712938
VM4,26,15993,0.0016257112486712938
VP1m,25,15993,0.001563183892953167
VM7v,21,15993,0.0013130744700806604
VM1,20,15993,0.0012505471143625336
VM3,20,15993,0.0012505471143625336
VP5,19,15993,0.0011880197586444069
VA3,17,15993,0.0010629650472081535
VM5d,15,15993,0.0009379103357719002
MZ,11,15993,0.0006878009128993935
VA5,9,15993,0.0005627462014631402
VC2,9,15993,0.0005627462014631402
VM2,7,15993,0.0004376914900268868
DA4l,5,15993,0.0003126367785906334
VA7m,5,15993,0.0003126367785906334
VP1l,5,15993,0.0003126367785906334
DA4m,4,15993,0.00025010942287250675
VP4,3,15993,0.00018758206715438003
DC4,2,15993,0.00012505471143625337
VA7l,2,15993,0.00012505471143625337
DA2,1,15993,6.252735571812669e-05
VL1,1,15993,6.252735571812669e-05
