glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,360,10490,0.034318398474737846
DP1m,131,10490,0.012488083889418494
VP2,121,10490,0.011534795042897998
VP1m,120,10490,0.011439466158245948
VP1d,116,10490,0.01105815061963775
DP1l,110,10490,0.010486177311725452
DC1,97,10490,0.009246901811248808
DM1,78,10490,0.007435653002859866
V,71,10490,0.006768350810295519
DL2v,57,10490,0.005433746425166826
VC5,57,10490,0.005433746425166826
DC4,55,10490,0.005243088655862726
VC3l,51,10490,0.004861773117254528
D,45,10490,0.004289799809342231
DC2,45,10490,0.004289799809342231
DM2,45,10490,0.004289799809342231
VC1,44,10490,0.004194470924690181
DL1,43,10490,0.004099142040038132
VM7d,41,10490,0.003908484270734033
VC4,39,10490,0.003717826501429933
VA2,37,10490,0.003527168732125834
VL2p,37,10490,0.003527168732125834
VM5d,36,10490,0.0034318398474737846
VL2a,35,10490,0.003336510962821735
VC3m,34,10490,0.0032411820781696856
DA1,33,10490,0.003145853193517636
VA6,33,10490,0.003145853193517636
VM1,30,10490,0.002859866539561487
VM4,30,10490,0.002859866539561487
VM5v,29,10490,0.0027645376549094375
VP3,28,10490,0.002669208770257388
DL5,27,10490,0.0025738798856053385
DA4m,26,10490,0.002478551000953289
DL4,26,10490,0.002478551000953289
VM3,26,10490,0.002478551000953289
VA7l,24,10490,0.00228789323164919
DC3,22,10490,0.0020972354623450904
VP5,22,10490,0.0020972354623450904
VA7m,21,10490,0.002001906577693041
VC2,20,10490,0.0019065776930409914
DL2d,19,10490,0.0018112488083889418
VA1v,19,10490,0.0018112488083889418
VL1,19,10490,0.0018112488083889418
DM5,18,10490,0.0017159199237368923
DM4,17,10490,0.0016205910390848428
VA3,17,10490,0.0016205910390848428
VM7v,16,10490,0.001525262154432793
DA2,12,10490,0.001143946615824595
VA5,12,10490,0.001143946615824595
VA4,10,10490,0.0009532888465204957
MZ,7,10490,0.000667302192564347
VM2,6,10490,0.0005719733079122975
VP4,6,10490,0.0005719733079122975
DM6,4,10490,0.00038131553860819826
VA1d,4,10490,0.00038131553860819826
DA4l,3,10490,0.00028598665395614874
VP1l,2,10490,0.00019065776930409913
DA3,1,10490,9.532888465204957e-05
DL3,1,10490,9.532888465204957e-05
