glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,493,5568,0.08854166666666667
VP1d,25,5568,0.004489942528735632
DP1m,19,5568,0.0034123563218390806
V,14,5568,0.002514367816091954
VP2,10,5568,0.0017959770114942528
VA5,9,5568,0.0016163793103448276
DC1,6,5568,0.0010775862068965517
VP1m,6,5568,0.0010775862068965517
VM7d,5,5568,0.0008979885057471264
VP5,5,5568,0.0008979885057471264
VP1l,4,5568,0.0007183908045977011
DM2,3,5568,0.0005387931034482759
DM4,3,5568,0.0005387931034482759
VA4,3,5568,0.0005387931034482759
VC2,3,5568,0.0005387931034482759
VC3m,3,5568,0.0005387931034482759
VP4,3,5568,0.0005387931034482759
DL1,2,5568,0.00035919540229885057
DM1,2,5568,0.00035919540229885057
DP1l,2,5568,0.00035919540229885057
VL2a,2,5568,0.00035919540229885057
VM7v,2,5568,0.00035919540229885057
VP3,2,5568,0.00035919540229885057
D,1,5568,0.00017959770114942528
DA4l,1,5568,0.00017959770114942528
DC3,1,5568,0.00017959770114942528
VA7m,1,5568,0.00017959770114942528
VC4,1,5568,0.00017959770114942528
VC5,1,5568,0.00017959770114942528
VM5d,1,5568,0.00017959770114942528
