glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,149,4193,0.03553541616980682
DM6,18,4193,0.004292869067493442
DL1,8,4193,0.0019079418077748629
DP1m,8,4193,0.0019079418077748629
VC4,8,4193,0.0019079418077748629
DL2v,6,4193,0.0014309563558311473
VC3l,6,4193,0.0014309563558311473
VA1d,5,4193,0.0011924636298592892
DM1,4,4193,0.0009539709038874314
VP1l,4,4193,0.0009539709038874314
D,3,4193,0.0007154781779155736
DA4m,3,4193,0.0007154781779155736
DL2d,3,4193,0.0007154781779155736
DM4,2,4193,0.0004769854519437157
VA4,2,4193,0.0004769854519437157
VC3m,2,4193,0.0004769854519437157
DL4,1,4193,0.00023849272597185786
DM5,1,4193,0.00023849272597185786
VA1v,1,4193,0.00023849272597185786
VA2,1,4193,0.00023849272597185786
VA7l,1,4193,0.00023849272597185786
VA7m,1,4193,0.00023849272597185786
VC2,1,4193,0.00023849272597185786
VC5,1,4193,0.00023849272597185786
VL1,1,4193,0.00023849272597185786
VL2p,1,4193,0.00023849272597185786
VM1,1,4193,0.00023849272597185786
VM5d,1,4193,0.00023849272597185786
