glomerulus,weight,LN_total_connections,LN_to_PN_perct
DP1m,69,1393,0.04953338119167265
DM4,44,1393,0.03158650394831299
VM5d,35,1393,0.02512562814070352
VC4,33,1393,0.023689877961234746
VM5v,29,1393,0.0208183776022972
DM2,28,1393,0.020100502512562814
DC4,24,1393,0.01722900215362527
DL1,24,1393,0.01722900215362527
VA2,23,1393,0.016511127063890883
DC2,21,1393,0.01507537688442211
VM7d,21,1393,0.01507537688442211
mPN,21,1393,0.01507537688442211
VA3,20,1393,0.014357501794687724
DL5,16,1393,0.01148600143575018
DM5,15,1393,0.010768126346015794
VM2,14,1393,0.010050251256281407
DL2d,13,1393,0.00933237616654702
VM3,13,1393,0.00933237616654702
VM7v,12,1393,0.008614501076812634
DM1,9,1393,0.006460875807609476
VA7m,9,1393,0.006460875807609476
VC3m,9,1393,0.006460875807609476
VC3l,6,1393,0.004307250538406317
VA4,4,1393,0.002871500358937545
VA7l,4,1393,0.002871500358937545
VC1,3,1393,0.0021536252692031586
DL2v,2,1393,0.0014357501794687725
DM6,2,1393,0.0014357501794687725
VC2,2,1393,0.0014357501794687725
VP1d,1,1393,0.0007178750897343862
