glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,301,46082,0.006531834555791849
VP1d,174,46082,0.0037758777830823316
VP1m,173,46082,0.003754177336053123
DA1,156,46082,0.003385269736556573
DP1l,106,46082,0.002300247385096133
VP2,106,46082,0.002300247385096133
V,104,46082,0.0022568464910377155
DP1m,103,46082,0.0022351460440085064
DM1,83,46082,0.0018011371034243305
DL2v,80,46082,0.001736035762336704
VL2p,71,46082,0.001540731739073825
VP3,68,46082,0.0014756303979861986
VM7d,67,46082,0.0014539299509569897
DC3,62,46082,0.0013454277158109456
DM2,61,46082,0.001323727268781737
VP5,58,46082,0.0012586259276941105
DC4,54,46082,0.0011718241395772752
VL2a,47,46082,0.0010199210103728137
VC1,46,46082,0.0009982205633436048
VM7v,44,46082,0.0009548196692851873
VM5d,43,46082,0.0009331192222559784
DC1,37,46082,0.0008029165400807257
VC3l,37,46082,0.0008029165400807257
VC4,37,46082,0.0008029165400807257
VC2,36,46082,0.0007812160930515168
VC3m,35,46082,0.000759515646022308
DM4,33,46082,0.0007161147519638905
DC2,31,46082,0.0006727138579054728
VM3,30,46082,0.0006510134108762641
VA2,29,46082,0.0006293129638470553
VA6,28,46082,0.0006076125168178464
DL1,27,46082,0.0005859120697886376
VA1v,24,46082,0.0005208107287010112
VP1l,24,46082,0.0005208107287010112
VL1,23,46082,0.0004991102816718024
VA3,21,46082,0.00045570938761338485
DM6,20,46082,0.000434008940584176
VM1,18,46082,0.0003906080465257584
DA4m,17,46082,0.00036890759949654965
VM2,17,46082,0.00036890759949654965
VM5v,17,46082,0.00036890759949654965
DM5,16,46082,0.0003472071524673408
DL5,15,46082,0.00032550670543813205
DL2d,14,46082,0.0003038062584089232
VA4,14,46082,0.0003038062584089232
VA1d,13,46082,0.00028210581137971444
VC5,11,46082,0.00023870491732129681
D,10,46082,0.000217004470292088
VP4,9,46082,0.0001953040232628792
DA2,8,46082,0.0001736035762336704
VA7l,8,46082,0.0001736035762336704
VA7m,8,46082,0.0001736035762336704
DL3,6,46082,0.0001302026821752528
MZ,3,46082,6.51013410876264e-05
VA5,3,46082,6.51013410876264e-05
VM4,3,46082,6.51013410876264e-05
DA3,2,46082,4.34008940584176e-05
DL4,2,46082,4.34008940584176e-05
