glomerulus,weight,LN_total_connections,LN_to_PN_perct
DP1m,344,10627,0.03237037734073586
DP1l,137,10627,0.012891690975816317
DL2v,106,10627,0.009974593017784887
mPN,105,10627,0.00988049308365484
VC3l,95,10627,0.00893949374235438
VC4,69,10627,0.006492895454973182
VM5d,57,10627,0.005363696245412628
DM4,56,10627,0.005269596311282582
DA1,51,10627,0.004799096640632352
VA2,49,10627,0.00461089677237226
DM1,48,10627,0.0045167968382422135
DM2,31,10627,0.0029170979580314294
DM3,30,10627,0.002822998023901383
VA3,29,10627,0.002728898089771337
DL2d,25,10627,0.002352498353251153
VA4,24,10627,0.0022583984191211067
DM6,23,10627,0.0021642984849910606
VM3,22,10627,0.0020701985508610144
VM5v,20,10627,0.0018819986826009221
VL1,16,10627,0.0015055989460807378
VM2,16,10627,0.0015055989460807378
VP1d,14,10627,0.0013173990778206455
VA1v,12,10627,0.0011291992095605534
VA7m,12,10627,0.0011291992095605534
DC2,10,10627,0.0009409993413004611
VM7d,8,10627,0.0007527994730403689
DL5,7,10627,0.0006586995389103227
VA1d,7,10627,0.0006586995389103227
DC3,6,10627,0.0005645996047802767
VA6,6,10627,0.0005645996047802767
VL2a,5,10627,0.00047049967065023054
VL2p,5,10627,0.00047049967065023054
DL1,3,10627,0.00028229980239013834
DL4,3,10627,0.00028229980239013834
DM5,3,10627,0.00028229980239013834
VA7l,3,10627,0.00028229980239013834
DC1,2,10627,0.00018819986826009222
DL3,2,10627,0.00018819986826009222
VC2,2,10627,0.00018819986826009222
VM7v,2,10627,0.00018819986826009222
DA2,1,10627,9.409993413004611e-05
VM4,1,10627,9.409993413004611e-05
