glomerulus,weight,LN_total_connections,LN_to_PN_perct
V,246,3243,0.07585568917668825
VM7d,157,3243,0.04841196423065063
mPN,77,3243,0.02374344742522356
DP1m,49,3243,0.015109466543324082
DM2,47,3243,0.014492753623188406
DM4,33,3243,0.010175763182238668
DC1,32,3243,0.009867406722170829
VP2,25,3243,0.0077089115016959605
DC4,16,3243,0.004933703361085414
VM7v,15,3243,0.004625346901017576
VM5d,11,3243,0.0033919210607462227
VP4,11,3243,0.0033919210607462227
VP5,9,3243,0.0027752081406105457
DL5,8,3243,0.002466851680542707
VP1d,7,3243,0.002158495220474869
DM6,5,3243,0.001541782300339192
VC3l,5,3243,0.001541782300339192
D,4,3243,0.0012334258402713536
VP1m,4,3243,0.0012334258402713536
DA2,3,3243,0.0009250693802035153
DC2,2,3243,0.0006167129201356768
VA2,2,3243,0.0006167129201356768
VC4,2,3243,0.0006167129201356768
MZ,1,3243,0.0003083564600678384
VC1,1,3243,0.0003083564600678384
VL2p,1,3243,0.0003083564600678384
VM3,1,3243,0.0003083564600678384
VP3,1,3243,0.0003083564600678384
