glomerulus,weight,LN_total_connections,LN_to_PN_perct
VC5,412,4933,0.08351915669977701
mPN,259,4933,0.052503547536995744
VM1,159,4933,0.03223190756132171
VC3m,95,4933,0.01925805797689033
DM4,94,4933,0.01905534157713359
VP2,84,4933,0.017028177579566185
DM6,38,4933,0.007703223190756132
VC3l,29,4933,0.005878775592945469
DL2d,23,4933,0.004662477194405028
DP1l,20,4933,0.004054327995134806
DM1,18,4933,0.0036488951956213257
DL2v,17,4933,0.0034461787958645854
DL1,13,4933,0.002635313196837624
VM7d,12,4933,0.002432596797080884
DL5,11,4933,0.0022298803973241437
VM4,8,4933,0.0016217311980539226
VP1d,8,4933,0.0016217311980539226
DM2,6,4933,0.001216298398540442
VA4,6,4933,0.001216298398540442
D,4,4933,0.0008108655990269613
DA4m,3,4933,0.000608149199270221
V,2,4933,0.00040543279951348065
DL4,1,4933,0.00020271639975674033
VL2a,1,4933,0.00020271639975674033
VL2p,1,4933,0.00020271639975674033
