glomerulus,weight,LN_total_connections,LN_to_PN_perct
V,212,2645,0.08015122873345935
VM7d,102,2645,0.03856332703213611
mPN,83,2645,0.031379962192816635
DP1m,51,2645,0.019281663516068054
DC4,30,2645,0.011342155009451797
DM2,29,2645,0.010964083175803403
DC1,25,2645,0.00945179584120983
DM4,19,2645,0.007183364839319471
VP4,18,2645,0.006805293005671078
VP2,13,2645,0.004914933837429111
VM7v,12,2645,0.004536862003780718
VP1m,7,2645,0.0026465028355387526
VP5,7,2645,0.0026465028355387526
VM5d,4,2645,0.0015122873345935729
DM6,3,2645,0.0011342155009451795
VA1v,3,2645,0.0011342155009451795
DP1l,2,2645,0.0007561436672967864
MZ,2,2645,0.0007561436672967864
VL1,2,2645,0.0007561436672967864
DC2,1,2645,0.0003780718336483932
DC3,1,2645,0.0003780718336483932
VP1d,1,2645,0.0003780718336483932
