glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,286,8151,0.03508771929824561
DL2v,177,8151,0.021715126978284875
D,166,8151,0.020365599312967733
DL1,143,8151,0.017543859649122806
DM3,107,8151,0.013127223653539443
VC2,104,8151,0.012759170653907496
VL2a,104,8151,0.012759170653907496
VM5d,92,8151,0.011286958655379709
DM6,82,8151,0.010060115323273219
VC4,79,8151,0.009692062323641271
DM2,76,8151,0.009324009324009324
VC1,75,8151,0.009201324990798674
DL5,73,8151,0.008955956324377377
VA2,71,8151,0.008710587657956079
DC3,66,8151,0.008097165991902834
VL1,62,8151,0.007606428659060238
V,60,8151,0.00736105999263894
DC2,55,8151,0.006747638326585695
DM1,47,8151,0.005766163660900503
DA4m,45,8151,0.005520794994479205
DP1m,43,8151,0.005275426328057907
VC3l,40,8151,0.00490737332842596
VP5,40,8151,0.00490737332842596
VP3,38,8151,0.004662004662004662
VA4,37,8151,0.004539320328794013
VP1d,33,8151,0.004048582995951417
DC1,30,8151,0.00368052999631947
VA6,28,8151,0.003435161329898172
VC5,25,8151,0.003067108330266225
VM7d,24,8151,0.002944423997055576
VP1m,23,8151,0.002821739663844927
VA3,16,8151,0.001962949331370384
VL2p,16,8151,0.001962949331370384
VM4,14,8151,0.001717580664949086
VP1l,11,8151,0.001349527665317139
DM4,10,8151,0.00122684333210649
VA7l,10,8151,0.00122684333210649
DC4,8,8151,0.000981474665685192
DL2d,6,8151,0.000736105999263894
VA1d,4,8151,0.000490737332842596
DP1l,2,8151,0.000245368666421298
VC3m,2,8151,0.000245368666421298
VM5v,2,8151,0.000245368666421298
VP4,2,8151,0.000245368666421298
DA2,1,8151,0.000122684333210649
DA3,1,8151,0.000122684333210649
DA4l,1,8151,0.000122684333210649
VM7v,1,8151,0.000122684333210649
