glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,1222,34741,0.03517457758844017
DA1,1080,34741,0.031087188048703262
VL2p,713,34741,0.020523300998819837
DC1,532,34741,0.015313318557324198
VA6,492,34741,0.01416194122218704
VL2a,476,34741,0.013701390288132179
VA2,474,34741,0.01364382142137532
DP1l,452,34741,0.013010563887049884
VM4,425,34741,0.012233384185832303
DL2v,365,34741,0.010506318183126565
VC1,365,34741,0.010506318183126565
VA4,321,34741,0.009239803114475692
VA1v,313,34741,0.00900952764744826
DL2d,282,34741,0.008117210212716962
VC3m,251,34741,0.007224892777985666
VM3,245,34741,0.007052186177715092
D,240,34741,0.006908264010822947
DL3,240,34741,0.006908264010822947
DM2,224,34741,0.006447713076768084
DM5,217,34741,0.006246222043119081
MZ,213,34741,0.006131084309605366
VC2,207,34741,0.005958377709334791
VA3,206,34741,0.005929593275956363
DC3,204,34741,0.005872024409199505
DA2,192,34741,0.005526611208658358
VA5,190,34741,0.0054690423419015
VA1d,173,34741,0.004979706974468208
DM6,145,34741,0.004173742839872197
VC5,144,34741,0.004144958406493768
VA7l,143,34741,0.004116173973115339
VM2,143,34741,0.004116173973115339
VM1,120,34741,0.0034541320054114733
VC4,116,34741,0.003338994271897758
VC3l,110,34741,0.003166287671627184
DL1,102,34741,0.0029360122045997525
VP1d,99,34741,0.0028496589044644657
DA4l,90,34741,0.0025905990040586053
VM7v,67,34741,0.0019285570363547393
VL1,66,34741,0.0018997726029763105
DC2,62,34741,0.0017846348694625946
DL4,52,34741,0.0014967905356783051
VA7m,42,34741,0.0012089462018940156
DA4m,22,34741,0.0006332575343254368
DM4,17,34741,0.000489335367433292
DM1,13,34741,0.0003741976339195763
VP4,10,34741,0.0002878443337842895
DA3,8,34741,0.00023027546702743157
VM5d,6,34741,0.00017270660027057368
VM7d,6,34741,0.00017270660027057368
VP1l,6,34741,0.00017270660027057368
VP2,5,34741,0.00014392216689214474
DP1m,3,34741,8.635330013528684e-05
V,2,34741,5.756886675685789e-05
VM5v,2,34741,5.756886675685789e-05
VP3,1,34741,2.8784433378428946e-05
