glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,165,20295,0.008130081300813009
DP1m,156,20295,0.007686622320768662
VP1d,114,20295,0.005617147080561715
DL2v,93,20295,0.004582409460458241
VC5,86,20295,0.00423749692042375
DP1l,76,20295,0.0037447647203744765
DM1,61,20295,0.0030056664203005666
VP2,58,20295,0.0028578467602857847
VL2p,55,20295,0.0027100271002710027
DL1,49,20295,0.0024143877802414388
VP5,47,20295,0.002315841340231584
V,46,20295,0.002266568120226657
VC3m,46,20295,0.002266568120226657
DC2,42,20295,0.0020694752402069475
VP3,40,20295,0.001970928800197093
VP1m,35,20295,0.0017245627001724563
DM2,34,20295,0.001675289480167529
VA3,29,20295,0.0014289233801428923
VC3l,27,20295,0.0013303769401330377
DL2d,26,20295,0.0012811037201281104
VM1,24,20295,0.0011825572801182557
DA1,23,20295,0.0011332840601133284
DC1,23,20295,0.0011332840601133284
VL2a,23,20295,0.0011332840601133284
DA4m,22,20295,0.001084010840108401
DC3,21,20295,0.0010347376201034738
VA6,20,20295,0.0009854644000985464
VM2,20,20295,0.0009854644000985464
VM7d,20,20295,0.0009854644000985464
DL5,19,20295,0.0009361911800936191
VC4,19,20295,0.0009361911800936191
VC2,18,20295,0.0008869179600886918
DC4,17,20295,0.0008376447400837645
VA5,17,20295,0.0008376447400837645
VL1,17,20295,0.0008376447400837645
VC1,16,20295,0.0007883715200788372
DM4,15,20295,0.0007390983000739098
VA2,14,20295,0.0006898250800689825
VM5d,14,20295,0.0006898250800689825
VM5v,14,20295,0.0006898250800689825
VA7l,13,20295,0.0006405518600640552
VM3,12,20295,0.0005912786400591279
VM7v,12,20295,0.0005912786400591279
VA4,11,20295,0.0005420054200542005
D,8,20295,0.0003941857600394186
VA1d,8,20295,0.0003941857600394186
VA1v,8,20295,0.0003941857600394186
VA7m,8,20295,0.0003941857600394186
VP1l,8,20295,0.0003941857600394186
DM6,7,20295,0.00034491254003449125
VP4,7,20295,0.00034491254003449125
DL3,6,20295,0.00029563932002956393
DM5,6,20295,0.00029563932002956393
DL4,3,20295,0.00014781966001478197
MZ,3,20295,0.00014781966001478197
VM4,3,20295,0.00014781966001478197
