glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,101,2363,0.04274227676682184
DP1m,79,2363,0.03343207786711807
DC4,64,2363,0.027084214980956412
DM4,60,2363,0.025391451544646636
DL2v,54,2363,0.022852306390181973
DL1,47,2363,0.019889970376639865
DM1,47,2363,0.019889970376639865
VM5d,45,2363,0.019043588658484975
VA3,33,2363,0.01396529834955565
VC3l,31,2363,0.013118916631400761
VM7d,30,2363,0.012695725772323318
VM7v,30,2363,0.012695725772323318
VM5v,27,2363,0.011426153195090986
DC2,24,2363,0.010156580617858655
D,20,2363,0.008463817181548879
DM2,19,2363,0.008040626322471435
VA5,17,2363,0.007194244604316547
VA2,15,2363,0.006347862886161659
VL2p,14,2363,0.005924672027084215
VL2a,13,2363,0.005501481168006771
DP1l,12,2363,0.0050782903089293275
VA4,12,2363,0.0050782903089293275
VA7m,12,2363,0.0050782903089293275
VM2,12,2363,0.0050782903089293275
DC3,11,2363,0.004655099449851883
DM5,11,2363,0.004655099449851883
DM6,10,2363,0.004231908590774439
DL5,9,2363,0.003808717731696995
VC1,9,2363,0.003808717731696995
VC4,9,2363,0.003808717731696995
VA1d,7,2363,0.0029623360135421074
VA1v,7,2363,0.0029623360135421074
DL2d,6,2363,0.0025391451544646637
VP1d,4,2363,0.0016927634363097758
VA6,3,2363,0.0012695725772323319
VC2,3,2363,0.0012695725772323319
