glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,412,5682,0.0725096796902499
DL1,113,5682,0.01988736360436466
DP1m,105,5682,0.018479408658922915
DM4,103,5682,0.018127419922562477
DL2v,96,5682,0.01689545934530095
VM7v,73,5682,0.012847588877155931
VM7d,72,5682,0.012671594508975714
VM5d,70,5682,0.012319605772615276
VC3l,69,5682,0.012143611404435059
DC2,67,5682,0.011791622668074622
VC1,65,5682,0.011439633931714184
DC4,64,5682,0.011263639563533967
VM5v,59,5682,0.010383667722632876
VA3,58,5682,0.010207673354452657
VA1v,54,5682,0.009503695881731784
DM2,53,5682,0.009327701513551567
DM3,51,5682,0.00897571277719113
VC4,51,5682,0.00897571277719113
DM1,48,5682,0.008447729672650475
DL2d,44,5682,0.007743752199929602
DC3,42,5682,0.007391763463569166
DL5,42,5682,0.007391763463569166
DP1l,42,5682,0.007391763463569166
VA1d,42,5682,0.007391763463569166
DM6,37,5682,0.0065117916226680745
VM3,36,5682,0.006335797254487857
D,35,5682,0.006159802886307638
VA6,33,5682,0.005807814149947202
VA4,28,5682,0.004927842309046111
VA2,26,5682,0.0045758535726856744
VL2a,25,5682,0.004399859204505456
VA7l,24,5682,0.004223864836325237
VM2,21,5682,0.003695881731784583
VA7m,19,5682,0.0033438929954241465
VC2,18,5682,0.0031678986272439284
VA5,14,5682,0.0024639211545230554
VL2p,13,5682,0.0022879267863428372
VP1d,11,5682,0.0019359380499824005
DM5,10,5682,0.0017599436818021823
DC1,9,5682,0.0015839493136219642
VC3m,4,5682,0.0007039774727208729
V,2,5682,0.00035198873636043646
VM1,2,5682,0.00035198873636043646
