glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,149,2042,0.07296767874632713
VP1l,28,2042,0.013712047012732615
VP4,19,2042,0.00930460333006856
VM7v,18,2042,0.00881488736532811
DC1,12,2042,0.005876591576885406
VC3m,10,2042,0.004897159647404506
DA4m,9,2042,0.004407443682664055
VP1m,7,2042,0.0034280117531831538
DM4,4,2042,0.0019588638589618022
DM6,4,2042,0.0019588638589618022
VA7m,4,2042,0.0019588638589618022
VC4,4,2042,0.0019588638589618022
DA2,3,2042,0.0014691478942213516
DA4l,3,2042,0.0014691478942213516
DP1l,3,2042,0.0014691478942213516
DP1m,2,2042,0.0009794319294809011
VP1d,2,2042,0.0009794319294809011
DC2,1,2042,0.0004897159647404506
DC4,1,2042,0.0004897159647404506
DL1,1,2042,0.0004897159647404506
DL2v,1,2042,0.0004897159647404506
V,1,2042,0.0004897159647404506
VA6,1,2042,0.0004897159647404506
VL2a,1,2042,0.0004897159647404506
VP3,1,2042,0.0004897159647404506
