glomerulus,weight,LN_total_connections,LN_to_PN_perct
DL2d,177,2457,0.07203907203907203
DL2v,161,2457,0.06552706552706553
VA2,58,2457,0.023606023606023607
DP1l,56,2457,0.022792022792022793
DP1m,54,2457,0.02197802197802198
mPN,39,2457,0.015873015873015872
VA3,38,2457,0.015466015466015465
VL2a,38,2457,0.015466015466015465
VL2p,34,2457,0.013838013838013839
VM3,22,2457,0.008954008954008955
VA4,10,2457,0.00407000407000407
VC4,9,2457,0.003663003663003663
VM2,9,2457,0.003663003663003663
VP1d,2,2457,0.000814000814000814
DL5,1,2457,0.000407000407000407
