glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,275,13827,0.01988862370723946
DP1m,243,13827,0.01757431113039705
VC3l,101,13827,0.007304549070658856
DC1,76,13827,0.005496492370000723
DM1,61,13827,0.004411658349605844
DA1,45,13827,0.0032545020611846388
VA2,43,13827,0.003109857525131988
DP1l,42,13827,0.0030375352571056628
VA6,34,13827,0.0024589571128950604
VM5d,31,13827,0.0022419903088160844
VA4,27,13827,0.0019527012367107832
DL2d,26,13827,0.001880378968684458
DL2v,26,13827,0.001880378968684458
DC3,24,13827,0.0017357344326318074
VM5v,24,13827,0.0017357344326318074
DM2,21,13827,0.0015187676285528314
VL2a,21,13827,0.0015187676285528314
DA4l,20,13827,0.0014464453605265062
VM1,20,13827,0.0014464453605265062
VM4,20,13827,0.0014464453605265062
D,16,13827,0.0011571562884212048
DM3,16,13827,0.0011571562884212048
DL5,15,13827,0.0010848340203948796
VC5,15,13827,0.0010848340203948796
VP1d,15,13827,0.0010848340203948796
DM4,14,13827,0.0010125117523685542
DC2,13,13827,0.000940189484342229
DL3,13,13827,0.000940189484342229
V,13,13827,0.000940189484342229
VA3,13,13827,0.000940189484342229
VP3,13,13827,0.000940189484342229
DM6,12,13827,0.0008678672163159037
VA1v,11,13827,0.0007955449482895784
DL4,9,13827,0.0006509004122369278
VC2,9,13827,0.0006509004122369278
VC3m,8,13827,0.0005785781442106024
DC4,7,13827,0.0005062558761842771
DM5,7,13827,0.0005062558761842771
VA1d,7,13827,0.0005062558761842771
VC1,7,13827,0.0005062558761842771
VM3,7,13827,0.0005062558761842771
VP2,6,13827,0.00043393360815795185
DA4m,5,13827,0.00036161134013162655
VA7m,5,13827,0.00036161134013162655
VA5,4,13827,0.0002892890721053012
VA7l,3,13827,0.00021696680407897592
VC4,3,13827,0.00021696680407897592
VM2,3,13827,0.00021696680407897592
VM7v,3,13827,0.00021696680407897592
DL1,1,13827,7.23222680263253e-05
MZ,1,13827,7.23222680263253e-05
VM7d,1,13827,7.23222680263253e-05
