glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,54,1246,0.04333868378812199
VA3,52,1246,0.04173354735152488
VA5,24,1246,0.019261637239165328
VM5d,23,1246,0.018459069020866775
DC3,12,1246,0.009630818619582664
DL2v,10,1246,0.008025682182985553
VC4,10,1246,0.008025682182985553
VC5,10,1246,0.008025682182985553
DM2,8,1246,0.006420545746388443
MZ,8,1246,0.006420545746388443
VC3l,8,1246,0.006420545746388443
VL2a,8,1246,0.006420545746388443
VP1d,8,1246,0.006420545746388443
VM5v,7,1246,0.0056179775280898875
VM7d,7,1246,0.0056179775280898875
DC2,6,1246,0.004815409309791332
VC3m,6,1246,0.004815409309791332
VM2,6,1246,0.004815409309791332
DC4,5,1246,0.0040128410914927765
VA7l,4,1246,0.0032102728731942215
DA4l,3,1246,0.002407704654895666
VA7m,3,1246,0.002407704654895666
VA1v,2,1246,0.0016051364365971107
VA2,2,1246,0.0016051364365971107
VA6,2,1246,0.0016051364365971107
VC2,2,1246,0.0016051364365971107
DA4m,1,1246,0.0008025682182985554
VA1d,1,1246,0.0008025682182985554
VC1,1,1246,0.0008025682182985554
VL2p,1,1246,0.0008025682182985554
