glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,139,5763,0.02411938226618081
VP1d,69,5763,0.011972930765226444
DP1m,62,5763,0.010758285615131008
DP1l,60,5763,0.010411244143675169
VP2,49,5763,0.008502516050668055
DL2v,43,5763,0.007461391636300538
DL1,41,5763,0.007114350164844699
DL5,38,5763,0.00659378795766094
VL2a,38,5763,0.00659378795766094
VL1,33,5763,0.005726184279021343
V,27,5763,0.004685059864653826
DL2d,23,5763,0.003990976921742148
VP3,21,5763,0.003643935450286309
VC5,20,5763,0.0034704147145583897
VC3l,18,5763,0.0031233732431025507
D,17,5763,0.0029498525073746312
VP1l,16,5763,0.0027763317716467117
VM4,15,5763,0.0026028110359187923
VP5,15,5763,0.0026028110359187923
DC2,11,5763,0.0019087280930071143
VA7l,11,5763,0.0019087280930071143
VL2p,9,5763,0.0015616866215512754
DA1,8,5763,0.0013881658858233559
VP4,8,5763,0.0013881658858233559
VA3,7,5763,0.0012146451500954364
DM3,5,5763,0.0008676036786395974
VA5,5,5763,0.0008676036786395974
DC4,4,5763,0.0006940829429116779
VC4,4,5763,0.0006940829429116779
DL3,3,5763,0.0005205622071837585
MZ,3,5763,0.0005205622071837585
VA4,3,5763,0.0005205622071837585
VC2,3,5763,0.0005205622071837585
DA4m,2,5763,0.00034704147145583897
VA1v,2,5763,0.00034704147145583897
VP1m,2,5763,0.00034704147145583897
VC1,1,5763,0.00017352073572791948
VM1,1,5763,0.00017352073572791948
VM2,1,5763,0.00017352073572791948
VM7d,1,5763,0.00017352073572791948
