glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,333,8516,0.03910286519492719
DA1,87,8516,0.010216063879755754
VC5,87,8516,0.010216063879755754
DL2v,71,8516,0.008337247534053547
DP1l,58,8516,0.006810709253170503
DL5,56,8516,0.006575857209957727
VM4,51,8516,0.0059887271019257865
VA1v,42,8516,0.004931892907468295
VP3,38,8516,0.004462188821042743
D,36,8516,0.004227336777829967
VM3,35,8516,0.004109910756223579
VA6,33,8516,0.003875058713010803
VC2,33,8516,0.003875058713010803
DM4,29,8516,0.0034053546265852513
VC1,29,8516,0.0034053546265852513
VL1,27,8516,0.0031705025833724753
VA3,25,8516,0.0029356505401596992
DC4,24,8516,0.0028182245185533112
VP2,23,8516,0.0027007984969469236
VA1d,17,8516,0.0019962423673085955
DA4m,16,8516,0.0018788163457022077
V,16,8516,0.0018788163457022077
DM1,14,8516,0.0016439643024894317
DL1,11,8516,0.0012916862376702678
DA2,10,8516,0.0011742602160638798
VP1d,7,8516,0.0008219821512447158
VA2,6,8516,0.0007045561296383278
VC3m,6,8516,0.0007045561296383278
VP1l,6,8516,0.0007045561296383278
DC2,5,8516,0.0005871301080319399
DC1,4,8516,0.0004697040864255519
DL2d,4,8516,0.0004697040864255519
VM7v,3,8516,0.0003522780648191639
VP1m,3,8516,0.0003522780648191639
MZ,2,8516,0.00023485204321277596
VP5,2,8516,0.00023485204321277596
DM2,1,8516,0.00011742602160638798
DM6,1,8516,0.00011742602160638798
VA7l,1,8516,0.00011742602160638798
VA7m,1,8516,0.00011742602160638798
VM5d,1,8516,0.00011742602160638798
VM7d,1,8516,0.00011742602160638798
