LN_type,LN_bodyId,ORN_type,LN_hemisphere,right_weight,left_weight,contralateral_input_ratio,input_preference
lLN2P_b,7205759406058835692,ORN_DC1,R,36,58,1.6111111111111112,0.23404255319148937
lLN2P_b,7205759406058835692,ORN_DC2,R,10,29,2.9,0.48717948717948717
lLN2P_b,7205759406058835692,ORN_DC4,R,21,89,4.238095238095238,0.6181818181818182
lLN2P_b,7205759406058835692,ORN_DL1,R,25,40,1.6,0.23076923076923078
lLN2P_b,7205759406058835692,ORN_DL2d,R,4,11,2.75,0.4666666666666667
lLN2P_b,7205759406058835692,ORN_DL2v,R,1,3,3.0,0.5
lLN2P_b,7205759406058835692,ORN_DL3,R,1,2,2.0,0.3333333333333333
lLN2P_b,7205759406058835692,ORN_DL4,R,11,31,2.8181818181818183,0.47619047619047616
lLN2P_b,7205759406058835692,ORN_DM1,R,14,38,2.7142857142857144,0.46153846153846156
lLN2P_b,7205759406058835692,ORN_DM2,R,2,22,11.0,0.8333333333333334
lLN2P_b,7205759406058835692,ORN_DM6,R,17,29,1.7058823529411764,0.2608695652173913
lLN2P_b,7205759406058835692,ORN_VA1d,R,1,5,5.0,0.6666666666666666
lLN2P_b,7205759406058835692,ORN_VA2,R,9,28,3.111111111111111,0.5135135135135135
lLN2P_b,7205759406058835692,ORN_VA4,R,9,21,2.3333333333333335,0.4
lLN2P_b,7205759406058835692,ORN_VA7l,R,3,5,1.6666666666666667,0.25
lLN2P_b,7205759406058835692,ORN_VA7m,R,5,10,2.0,0.3333333333333333
lLN2P_b,7205759406058835692,ORN_VC3l,R,23,36,1.565217391304348,0.22033898305084745
lLN2P_b,7205759406058835692,ORN_VC3m,R,8,26,3.25,0.5294117647058824
lLN2P_b,7205759406058835692,ORN_VC4,R,14,27,1.9285714285714286,0.3170731707317073
lLN2P_b,7205759406058835692,ORN_VL2a,R,5,18,3.6,0.5652173913043478
lLN2P_b,7205759406058835692,ORN_VM3,R,8,28,3.5,0.5555555555555556
