combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
il3LN6,DP1m,il3LN,4,4179.0,296.0,0.40555873062512343,1.6222349225004937,0.8411103134721225,0.05883790331472767,0,0
il3LN6,VL2a,il3LN,4,1367.0,255.0,0.3606712715961965,1.442685086384786,0.9429407461594733,0.057219306887419455,0,1
il3LN6,VA6,il3LN,4,729.0,106.0,0.14805095135121962,0.5922038054048785,0.9698216735253772,0.019197438502993155,0,2
il3LN6,DL1,il3LN,4,936.0,205.0,0.27931605471364046,1.1172642188545618,0.8525641025641025,0.03786841624711445,0,3
il3LN6,DC1,il3LN,4,771.0,73.0,0.10215419809421966,0.40861679237687865,0.9221789883268483,0.011485132297461864,0,4
il3LN6,DM1,il3LN,4,2365.0,266.0,0.36189819323540323,1.447592772941613,0.7657505285412262,0.04634878668527208,0,5
il3LN6,VC5,il3LN,4,1613.0,115.0,0.16372331048534872,0.6548932419413949,0.7854928704277744,0.01791103273596125,0,6
il3LN6,D,il3LN,4,605.0,248.0,0.34619443653027065,1.3847777461210826,0.947107438016529,0.05491086565564192,0,7
il3LN6,DL5,il3LN,4,748.0,86.0,0.12064696989011113,0.4825878795604445,0.8636363636363636,0.013104728306378873,0,8
il3LN6,DM2,il3LN,4,544.0,128.0,0.17619024413034484,0.7047609765213794,0.875,0.021746784311074917,0,9
il3LN6,DP1l,il3LN,4,2126.0,177.0,0.23950208367115178,0.9580083346846071,0.8748824082784572,0.03206552799933694,0,10
il3LN6,DC2,il3LN,4,482.0,157.0,0.21262930862747978,0.8505172345099191,0.921161825726141,0.028909296536457182,0,11
il3LN6,VM4,il3LN,4,706.0,124.0,0.16192431964154042,0.6476972785661617,0.8923512747875354,0.020542001921969304,0,12
il3LN6,VL2p,il3LN,4,883.0,144.0,0.19014004810779683,0.7605601924311873,0.9592298980747452,0.028372538627116174,0,13
il3LN6,VC3m,il3LN,4,598.0,87.0,0.11627802783272043,0.4651121113308817,0.8494983277591973,0.012809701141236824,0,14
il3LN6,VA2,il3LN,4,1096.0,75.0,0.10159877909993938,0.4063951163997575,0.8558394160583942,0.010684481823575474,0,15
il3LN6,VM3,il3LN,3,231.0,30.0,0.05270954734156788,0.15812864202470364,0.9653679653679653,0.003716221356820458,0,16
il3LN6,VC1,il3LN,4,774.0,92.0,0.12984127565125397,0.5193651026050159,0.8604651162790697,0.014720283268234973,0,17
il3LN6,VM1,il3LN,4,727.0,203.0,0.26623922467643374,1.064956898705735,0.8817056396148556,0.037306426906819345,0,18
il3LN6,VC4,il3LN,4,381.0,57.0,0.08022542087892638,0.3209016835157055,0.952755905511811,0.008620110365508034,0,19
il3LN6,VC2,il3LN,4,369.0,78.0,0.10481214288881541,0.41924857155526163,0.8699186991869918,0.0111584130994565,0,20
il3LN6,DM6,il3LN,4,547.0,99.0,0.14185015890219918,0.5674006356087967,0.8793418647166362,0.017273170916540334,0,21
il3LN6,DA4m,il3LN,1,47.0,20.0,0.13720244220347122,0.13720244220347122,1.0,0.004177159137989193,0,22
il3LN6,VA4,il3LN,4,452.0,88.0,0.11546256456311162,0.46185025825244647,0.9292035398230089,0.013827908813173934,0,23
il3LN6,DM3,il3LN,4,429.0,38.0,0.10805189722168237,0.21610379444336475,0.8601398601398601,0.0056137270962148805,0,24
il3LN6,VM2,il3LN,4,204.0,19.0,0.02503620678769209,0.10014482715076836,0.8921568627450981,0.001684982335557117,0,25
il3LN6,VA7m,il3LN,3,110.0,36.0,0.061867250426227795,0.1856017512786834,0.9272727272727272,0.00449520667658165,0,26
il3LN6,VA3,il3LN,4,439.0,81.0,0.108441776492983,0.433767105971932,0.9362186788154897,0.012703999498437408,0,27
il3LN6,DM5,il3LN,4,156.0,12.0,0.016285647471418627,0.0651425898856745,0.9102564102564102,0.0009112662912521326,0,28
il3LN6,DC4,il3LN,4,768.0,65.0,0.09490415000642602,0.3796166000257041,0.8411458333333334,0.009701920056174738,0,29
il3LN6,DA2,il3LN,3,150.0,30.0,0.059393148779492755,0.17817944633847826,0.9333333333333333,0.004375577863097644,0,30
il3LN6,VA7l,il3LN,3,113.0,43.0,0.07838393899384448,0.23515181698153342,0.8584070796460177,0.005452685354135042,0,32
il3LN6,VA5,il3LN,1,32.0,20.0,0.09667440061871617,0.09667440061871617,1.0,0.0029432738183714454,0,33
il3LN6,VC3l,il3LN,4,468.0,32.0,0.041646211328514426,0.1665848453140577,0.8717948717948718,0.0035932451333078063,0,36
il3LN6,DM4,il3LN,4,960.0,113.0,0.15508550815423686,0.6203420326169474,0.80625,0.017010038800016475,0,37
il3LN6,VM5d,il3LN,4,344.0,43.0,0.06141263559459693,0.2456505423783877,0.9127906976744186,0.005767490694436553,0,38
il3LN6,VM7v,il3LN,4,584.0,27.0,0.038160257773703285,0.15264103109481314,0.7534246575342466,0.0023637767934754747,0,39
il3LN6,VM5v,il3LN,2,68.0,14.0,0.04445972164341379,0.08891944328682758,0.9411764705882353,0.0018031916478445213,0,40
il3LN6,DA1,il3LN,3,1520.0,519.0,0.8679747448370607,2.603924234511182,0.9013157894736842,0.12239490980943082,0,41
il3LN6,VA1d,il3LN,3,376.0,111.0,0.18570351971344556,0.5571105591403367,0.9574468085106383,0.01967758788031023,0,43
il3LN6,VA1v,il3LN,3,473.0,318.0,0.53970944917155,1.6191283475146498,0.8308668076109936,0.06258245610224066,0,44
il3LN6,VM7d,il3LN,4,808.0,101.0,0.14541645169800446,0.5816658067920178,0.8589108910891089,0.016586304679897905,0,45
il3LN6,DL2d,il3LN,4,417.0,79.0,0.10752654175592195,0.4301061670236878,0.8609112709832134,0.012204629667978582,0,46
il3LN6,DL2v,il3LN,4,828.0,201.0,0.28372879616058044,1.1349151846423218,0.855072463768116,0.03917904173890676,0,47
lLN2X11,DP1m,other lLN,4,326.0,451.0,0.8741337544337632,3.4965350177350527,0.656441717791411,0.11112801475855166,1,0
lLN2X11,VL2a,other lLN,4,241.0,177.0,0.34829484558617335,1.3931793823446934,0.8506224066390041,0.0456988671085839,1,1
lLN2X11,VA6,other lLN,4,298.0,210.0,0.4127455173456269,1.6509820693825077,0.8523489932885906,0.05662750060656287,1,2
lLN2X11,DL1,other lLN,4,158.0,271.0,0.5306726135987819,2.1226904543951277,0.6582278481012658,0.05925775433532609,1,3
lLN2X11,DC1,other lLN,3,105.0,179.0,0.47200059564377556,1.4160017869313266,0.9238095238095239,0.05426075852483432,1,4
lLN2X11,DM1,other lLN,2,53.0,106.0,0.4086722857687484,0.8173445715374968,0.4339622641509434,0.013859358126771316,1,5
lLN2X11,VC5,other lLN,4,249.0,295.0,0.5753607751910326,2.3014431007641303,0.7028112449799196,0.07110009002648718,1,6
lLN2X11,D,other lLN,1,28.0,25.0,0.20533880903490762,0.20533880903490762,0.7857142857142857,0.005256535922299252,1,7
lLN2X11,DL5,other lLN,4,229.0,145.0,0.28406580630257655,1.1362632252103062,0.5458515283842795,0.02266432122109629,1,8
lLN2X11,DM2,other lLN,1,29.0,41.0,0.33675564681724846,0.33675564681724846,0.5862068965517241,0.007378476878690101,1,9
lLN2X11,DP1l,other lLN,4,230.0,322.0,0.6289198174112127,2.515679269644851,0.7565217391304347,0.08140926696812188,1,10
lLN2X11,DC2,other lLN,1,30.0,41.0,0.33675564681724846,0.33675564681724846,0.8,0.010069450799153551,1,11
lLN2X11,VL2p,other lLN,3,94.0,98.0,0.2677140847162244,0.8031422541486731,0.7021276595744681,0.015920683660638008,1,13
lLN2X11,VC1,other lLN,4,136.0,226.0,0.4397695140841318,1.7590780563365271,0.7058823529411765,0.051393603558821305,1,17
lLN2X11,VM1,other lLN,1,27.0,39.0,0.3025601241272304,0.3025601241272304,0.8518518518518519,0.00950758518041606,1,18
lLN2X11,DM6,other lLN,1,25.0,23.0,0.18388231531819635,0.18388231531819635,0.84,0.004908858330854038,1,21
lLN2X11,VA7m,other lLN,1,27.0,32.0,0.25583626479053406,0.25583626479053406,0.3333333333333333,0.002981778114458143,1,26
lLN2X11,DC4,other lLN,1,25.0,44.0,0.3413498836307215,0.3413498836307215,0.52,0.006756899749103562,1,29
lLN2X11,DA2,other lLN,3,110.0,110.0,0.28372047081109986,0.8511614124332996,0.4,0.012740065136459278,1,30
lLN2X11,DM4,other lLN,1,25.0,31.0,0.2546201232032854,0.2546201232032854,0.44,0.003882762851268031,1,37
lLN2X11,VM5d,other lLN,1,25.0,15.0,0.11992324912056285,0.11992324912056285,0.92,0.003058980202023424,1,38
lLN2X11,VM7d,other lLN,1,38.0,36.0,0.2878157978893508,0.2878157978893508,0.5789473684210527,0.006016879695551112,1,45
lLN2X11,DL2d,other lLN,2,88.0,55.0,0.22108888510106842,0.44217777020213683,0.8636363636363636,0.012912931944446083,1,46
lLN2X11,DL2v,other lLN,1,28.0,50.0,0.3997441637352095,0.3997441637352095,0.7142857142857143,0.011226602496471762,1,47
lLN2X07,DP1m,other lLN,3,194.0,159.0,0.9381817507597804,2.8145452522793413,0.7525773195876289,0.08705375001722393,2,0
