LN_type,ORN_type,input_preference,n_ln_body_ids,source_LN_types,point_label,glomerulus,x_order,LN_type_mean_input_preference
CB3326,ORN_D,0.52,1,CB3326,ORN_D,D,1,0.52
v2LN33,ORN_DP1l,0.6363636363636364,1,v2LN33,ORN_DP1l,DP1l,2,0.3798743246417665
v2LN33,ORN_VC5,0.12338501291989662,2,v2LN33,ORN_VC5,VC5,2,0.3798743246417665
ALBN1,ORN_D,0.8333333333333334,1,ALBN1,ORN_D,D,3,0.3352082153120651
ALBN1,ORN_DA1,0.6956521739130435,1,ALBN1,ORN_DA1,DA1,3,0.3352082153120651
ALBN1,ORN_DC1,0.9615384615384616,1,ALBN1,ORN_DC1,DC1,3,0.3352082153120651
ALBN1,ORN_DC2,0.6,1,ALBN1,ORN_DC2,DC2,3,0.3352082153120651
ALBN1,ORN_DC4,-0.03279235215651399,2,ALBN1,ORN_DC4,DC4,3,0.3352082153120651
ALBN1,ORN_DL2v,0.0,1,ALBN1,ORN_DL2v,DL2v,3,0.3352082153120651
ALBN1,ORN_DL5,-0.08645276292335113,2,ALBN1,ORN_DL5,DL5,3,0.3352082153120651
ALBN1,ORN_DM1,0.1377576671694319,3,ALBN1,ORN_DM1,DM1,3,0.3352082153120651
ALBN1,ORN_DM3,0.0282828282828283,2,ALBN1,ORN_DM3,DM3,3,0.3352082153120651
ALBN1,ORN_DM4,0.17371428571428577,2,ALBN1,ORN_DM4,DM4,3,0.3352082153120651
ALBN1,ORN_DM6,0.8461538461538461,1,ALBN1,ORN_DM6,DM6,3,0.3352082153120651
ALBN1,ORN_DP1l,0.9444444444444444,1,ALBN1,ORN_DP1l,DP1l,3,0.3352082153120651
ALBN1,ORN_DP1m,-0.008926363681321381,2,ALBN1,ORN_DP1m,DP1m,3,0.3352082153120651
ALBN1,ORN_VA2,-0.005125113053964403,2,ALBN1,ORN_VA2,VA2,3,0.3352082153120651
ALBN1,ORN_VA4,0.7647058823529411,1,ALBN1,ORN_VA4,VA4,3,0.3352082153120651
ALBN1,ORN_VC3m,-0.8181818181818182,1,ALBN1,ORN_VC3m,VC3m,3,0.3352082153120651
ALBN1,ORN_VC4,-0.10648148148148145,2,ALBN1,ORN_VC4,VC4,3,0.3352082153120651
