source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere
720575940641773472,7205759406417734721,v2LN39a_L,v2LN39a,L,AL_L,5,531,2175
720575940606045314,7205759406060453141,CB1013_L,CB1013,L,AL_L,11,57,731
720575940632007983,7205759406320079831,LN60b_L,LN60b,L,AL_L,96,526,1393
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,702,2508,6410
720575940626030776,7205759406260307762,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,456,314,2282
720575940605883569,7205759406058835692,lLN2P_b_R,lLN2P_b,R,AL_R,945,1127,6998
720575940630407388,7205759406304073882,lLN2T_b_R,lLN2T_b,R,AL_R,6646,2878,15993
720575940629589292,7205759406295892922,v2LN49_R,v2LN49,R,AL_R,5,309,1534
720575940615513086,7205759406155130862,lLN2P_c_R,lLN2P_c,R,AL_R,381,2159,7684
720575940623650823,7205759406236508232,lLN2P_b_R,lLN2P_b,R,AL_R,1128,1443,8442
720575940624832743,7205759406248327432,lLN2X12_R,lLN2X12,R,AL_R,790,1497,8737
720575940634034839,7205759406340348391,lLN1_bc_L,lLN1_bc,L,AL_L,46,2051,9602
720575940622920074,7205759406229200741,lLN1_bc_L,lLN1_bc,L,AL_L,150,2446,10498
720575940627690246,7205759406276902461,lLN2X03_L,lLN2X03,L,AL_L,669,2763,11812
720575940636241550,7205759406362415501,lLN2P_a_L,lLN2P_a,L,AL_L,875,822,6215
720575940612907121,7205759406129071211,lLN2X12_L,lLN2X12,L,AL_L,881,1301,7253
720575940644255255,7205759406442552551,CB1132_L,CB1132,L,AL_L,28,399,1673
720575940623248883,7205759406232488831,CB1141_L,CB1141,L,AL_L,20,145,725
720575940606751922,7205759406067519221,lLN2X12_L,lLN2X12,L,AL_L,737,1176,6999
720575940630945335,7205759406309453351,lLN1_bc_L,lLN1_bc,L,AL_L,66,2593,11652
720575940634771552,7205759406347715521,vLN27_L,vLN27,L,AL_L,642,1324,4933
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,8528,2693,46082
720575940617586757,7205759406175867571,lLN2X12_L,lLN2X12,L,AL_L,764,1334,7691
720575940623788040,7205759406237880401,lLN2F_a_L,lLN2F_a,L,AL_L,4730,1734,20961
720575940628343634,7205759406283436341,lLN2P_c_L,lLN2P_c,L,AL_L,493,2458,9163
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,342,69,529
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,1012,633,5568
720575940630183286,7205759406301832861,lLN1_bc_L,lLN1_bc,L,AL_L,68,2571,11622
720575940618076214,7205759406180762142,CB1285_R,CB1285,R,AL_R,5,105,553
720575940632197930,7205759406321979301,lLN1_bc_L,lLN1_bc,L,AL_L,68,2164,9723
720575940614757974,7205759406147579742,v2LN40_2_R,v2LN40_2,R,AL_R,381,311,1601
720575940621086996,7205759406210869962,v2LN31_R,v2LN31,R,AL_R,1504,851,3514
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,28,123,658
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,2,6,80
720575940626624275,7205759406266242751,lLN2P_c_L,lLN2P_c,L,AL_L,544,2881,9494
720575940617938752,7205759406179387521,CB1473_L,CB1473,L,AL_L,50,478,1679
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,9044,2109,19814
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,6856,1509,14577
720575940632000993,7205759406320009931,CB1546_L,CB1546,L,AL_L,45,385,1619
720575940625977802,7205759406259778022,lLN2P_a_R,lLN2P_a,R,AL_R,971,946,6748
720575940625119625,7205759406251196251,CB1668_L,CB1668,L,AL_L,65,184,608
720575940625119625,7205759406251196252,CB1668_R,CB1668,R,AL_R,40,73,409
720575940631618920,7205759406316189201,CB1673_L,CB1673,L,AL_L,2,19,541
720575940631618920,7205759406316189202,CB1673_R,CB1673,R,AL_R,7,43,1646
720575940608362418,7205759406083624181,CB1676_L,CB1676,L,AL_L,237,290,3538
720575940608362418,7205759406083624182,CB1676_R,CB1676,R,AL_R,14,18,477
720575940634962936,7205759406349629362,CB1686_R,CB1686,R,AL_R,47,311,1312
720575940623901695,7205759406239016951,CB1266_L,CB1266,L,AL_L,1499,618,6168
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,394,451,1817
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,72,494,1452
720575940618304670,7205759406183046702,CB1824_R,CB1824,R,AL_R,76,149,742
720575940617205179,7205759406172051791,lLN2P_c_L,lLN2P_c,L,AL_L,557,3293,10563
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,1828,920,3496
720575940630864170,7205759406308641701,CB1546_L,CB1546,L,AL_L,45,554,2097
720575940631558113,7205759406315581132,CB1545_R,CB1545,R,AL_R,2,265,1566
720575940631497078,7205759406314970781,lLN2P_a_L,lLN2P_a,L,AL_L,816,738,5981
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,1167,922,4742
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,116,137,928
720575940631619921,7205759406316199211,lLN2X12_L,lLN2X12,L,AL_L,981,1481,8641
720575940616953467,7205759406169534672,CB1013_R,CB1013,R,AL_R,40,59,645
720575940624084429,7205759406240844291,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,3,62,473
720575940624084429,7205759406240844292,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,233,97,1714
720575940626310686,7205759406263106861,CB1686_L,CB1686,L,AL_L,67,487,1612
720575940634303132,7205759406343031322,lLN2P_a_R,lLN2P_a,R,AL_R,980,913,6616
720575940632505359,7205759406325053592,lLN2P_a_R,lLN2P_a,R,AL_R,1326,1296,8085
720575940641609869,7205759406416098691,CB1546_L,CB1546,L,AL_L,17,344,1554
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,3,294,1472
720575940660217985,7205759406602179852,lLN2P_b_R,lLN2P_b,R,AL_R,965,1255,8516
720575940609890315,7205759406098903151,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,1,28,237
720575940609890315,7205759406098903152,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,499,192,3205
