source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,analysis_neuropil,neuropil,n_synapses
720575940641773472,7205759406417734721,v2LN39a_L,v2LN39a,L,AL_L,AL_L,2175
720575940641773472,7205759406417734721,v2LN39a_L,v2LN39a,L,AL_L,VES_L,2
720575940641773472,7205759406417734721,v2LN39a_L,v2LN39a,L,AL_L,,20
720575940606045314,7205759406060453141,CB1013_L,CB1013,L,AL_L,AL_L,731
720575940606045314,7205759406060453141,CB1013_L,CB1013,L,AL_L,AL_R,396
720575940606045314,7205759406060453141,CB1013_L,CB1013,L,AL_L,,67
720575940632007983,7205759406320079831,LN60b_L,LN60b,L,AL_L,AL_L,1393
720575940632007983,7205759406320079831,LN60b_L,LN60b,L,AL_L,AL_R,6410
720575940632007983,7205759406320079831,LN60b_L,LN60b,L,AL_L,LAL_R,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,AL_L,1393
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,AL_R,6410
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,LAL_R,1
720575940626030776,7205759406260307762,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,AL_R,2282
720575940626030776,7205759406260307762,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,VES_R,197
720575940626030776,7205759406260307762,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,,5
720575940605883569,7205759406058835692,lLN2P_b_R,lLN2P_b,R,AL_R,AL_R,6998
720575940605883569,7205759406058835692,lLN2P_b_R,lLN2P_b,R,AL_R,MB_ML_R,1
720575940630407388,7205759406304073882,lLN2T_b_R,lLN2T_b,R,AL_R,AL_R,15993
720575940630407388,7205759406304073882,lLN2T_b_R,lLN2T_b,R,AL_R,LAL_R,10
720575940630407388,7205759406304073882,lLN2T_b_R,lLN2T_b,R,AL_R,VES_R,12
720575940629589292,7205759406295892922,v2LN49_R,v2LN49,R,AL_R,AL_R,1534
720575940629589292,7205759406295892922,v2LN49_R,v2LN49,R,AL_R,,9
720575940615513086,7205759406155130862,lLN2P_c_R,lLN2P_c,R,AL_R,AL_R,7684
720575940615513086,7205759406155130862,lLN2P_c_R,lLN2P_c,R,AL_R,LAL_R,1
720575940623650823,7205759406236508232,lLN2P_b_R,lLN2P_b,R,AL_R,AL_R,8442
720575940623650823,7205759406236508232,lLN2P_b_R,lLN2P_b,R,AL_R,AVLP_R,11
720575940624832743,7205759406248327432,lLN2X12_R,lLN2X12,R,AL_R,AL_R,8737
720575940624832743,7205759406248327432,lLN2X12_R,lLN2X12,R,AL_R,AVLP_R,57
720575940634034839,7205759406340348391,lLN1_bc_L,lLN1_bc,L,AL_L,AL_L,9602
720575940634034839,7205759406340348391,lLN1_bc_L,lLN1_bc,L,AL_L,,7
720575940622920074,7205759406229200741,lLN1_bc_L,lLN1_bc,L,AL_L,AL_L,10498
720575940627690246,7205759406276902461,lLN2X03_L,lLN2X03,L,AL_L,AL_L,11812
720575940627690246,7205759406276902461,lLN2X03_L,lLN2X03,L,AL_L,CRE_L,9
720575940627690246,7205759406276902461,lLN2X03_L,lLN2X03,L,AL_L,,4
