,hemibrain_PV5a1,hemibrain_PD2a1_b1,hemibrain_total_weight,flywire_PV5a1,flywire_PD2a1_b1,flywire_total_weight,in_hemibrain,in_flywire,in_both_datasets
DM1,97,290,387,810,784,1594,True,True,True
DP1m,82,144,226,816,471,1287,True,True,True
VA2,74,60,134,769,332,1101,True,True,True
DM4,73,128,201,672,404,1076,True,True,True
VM3,54,38,92,298,158,456,True,True,True
DL2v,8,34,42,235,186,421,True,True,True
DP1l,34,92,126,207,211,418,True,True,True
DM2,25,57,82,232,33,265,True,True,True
VA4,11,54,65,124,122,246,True,True,True
DL2d,10,33,43,78,134,212,True,True,True
VA7l,2,22,24,2,189,191,True,True,True
DM6,28,11,39,130,8,138,True,True,True
VC4,12,8,20,92,8,100,True,True,True
VC2,8,5,13,75,16,91,True,True,True
VM2,15,8,23,58,31,89,True,True,True
VC3l,1,8,9,24,54,78,True,True,True
DM5,3,6,9,39,36,75,True,True,True
DM3,40,19,59,54,14,68,True,True,True
VM7v,3,9,12,19,28,47,True,True,True
VM7d,1,8,9,6,25,31,True,True,True
VA3,1,12,13,26,1,27,True,True,True
DL5,2,3,5,18,3,21,True,True,True
V,2,13,15,10,10,20,True,True,True
VA1v,1,4,5,8,12,20,True,True,True
mPN,0,0,0,441,264,705,False,True,False
VM1,0,0,0,25,17,42,False,True,False
VM5d,0,0,0,18,19,37,False,True,False
DC2,0,0,0,26,1,27,False,True,False
DC4,0,0,0,3,22,25,False,True,False
DC3,0,0,0,10,5,15,False,True,False
VM5v,0,0,0,6,4,10,False,True,False
VL2a,0,0,0,3,5,8,False,True,False
DA1,0,0,0,1,4,5,False,True,False
DL3,1,1,2,0,0,0,True,False,False
