glomerulus,hemibrain_PV5a1_synapses,hemibrain_PD2a1_b1_synapses,hemibrain_PV5a1_pn_bodies,hemibrain_PD2a1_b1_pn_bodies,hemibrain_PV5a1_target_lhn_bodies,hemibrain_PD2a1_b1_target_lhn_bodies,flywire_right_PV5a1_synapses,flywire_right_PD2a1_b1_synapses,flywire_right_PV5a1_pn_roots,flywire_right_PD2a1_b1_pn_roots,flywire_right_PV5a1_target_lhn_roots,flywire_right_PD2a1_b1_target_lhn_roots,hemibrain_reaches_both,flywire_right_reaches_both,both_datasets_reach_both
DP1m,82,144,2,2,4,8,407,247,3,3,7,8,True,True,True
DM1,97,290,1,1,7,9,357,404,1,1,7,7,True,True,True
VA2,74,60,1,1,5,8,345,193,1,1,7,7,True,True,True
DM4,73,128,2,2,6,8,321,230,2,2,7,8,True,True,True
mPN,96,124,24,28,7,9,231,130,20,34,7,8,True,True,True
DL2v,8,34,3,3,4,6,141,88,4,4,6,6,True,True,True
VM3,54,38,2,2,7,9,132,90,2,2,7,7,True,True,True
DM2,25,57,2,2,6,8,98,9,2,2,7,5,True,True,True
DP1l,34,92,2,1,4,7,92,98,2,2,7,7,True,True,True
DM6,28,11,4,3,4,3,60,5,3,1,5,2,True,True,True
DM3,40,19,2,2,7,6,54,14,1,1,7,4,True,True,True
VA4,11,54,1,1,4,4,45,57,1,1,6,7,True,True,True
VM2,15,8,2,2,5,5,35,19,2,2,7,5,True,True,True
VC4,12,8,3,3,3,4,35,6,2,2,4,2,True,True,True
DL2d,10,33,3,4,4,4,35,71,7,5,6,7,True,True,True
VC2,8,5,1,1,3,3,31,10,1,1,6,5,True,True,True
VA3,1,12,1,2,1,3,19,1,2,1,3,1,True,True,True
DM5,3,6,2,2,2,4,14,18,2,2,3,6,True,True,True
DL5,2,3,1,1,2,1,14,2,1,1,4,1,True,True,True
VC3l,1,8,1,2,1,2,10,29,3,4,3,2,True,True,True
V,2,13,1,3,1,4,6,2,1,1,3,1,True,True,True
VA7l,2,22,1,1,1,5,2,113,1,1,2,6,True,True,True
VM7d,1,8,1,2,1,4,2,24,1,3,1,3,True,True,True
VM7v,3,9,2,2,2,2,1,19,1,2,1,1,True,True,True
VA7m,17,0,3,0,3,0,33,0,3,0,3,0,False,False,False
VM1,4,0,1,0,2,0,16,17,2,2,2,1,False,True,False
DC2,0,0,0,0,0,0,14,0,1,0,1,0,False,False,False
VM5d,0,1,0,1,0,1,12,15,4,4,3,3,False,True,False
VC3m,2,0,1,0,2,0,7,0,2,0,2,0,False,False,False
VC1,0,1,0,1,0,1,7,0,1,0,1,0,False,False,False
VM4,0,0,0,0,0,0,4,0,1,0,1,0,False,False,False
DC1,0,0,0,0,0,0,3,0,1,0,1,0,False,False,False
DC4,0,3,0,2,0,3,2,13,1,1,2,1,False,True,False
VC5,0,0,0,0,0,0,2,0,1,0,1,0,False,False,False
VM5v,0,0,0,0,0,0,1,1,1,1,1,1,False,True,False
DL3,1,1,1,1,1,1,0,0,0,0,0,0,True,False,False
VA1v,1,4,1,3,1,2,0,4,0,2,0,2,True,False,False
DA1,0,25,0,6,0,3,0,3,0,2,0,1,False,False,False
DA3,0,2,0,2,0,2,0,0,0,0,0,0,False,False,False
DC3,0,15,0,3,0,3,0,1,0,1,0,1,False,False,False
VA1d,0,2,0,1,0,1,0,0,0,0,0,0,False,False,False
VA5,0,7,0,1,0,1,0,11,0,3,0,2,False,False,False
VA6,0,2,0,1,0,1,0,0,0,0,0,0,False,False,False
VP2,0,1,0,1,0,1,0,2,0,1,0,2,False,False,False
VP4,0,1,0,1,0,1,0,9,0,1,0,1,False,False,False
VL2a,0,0,0,0,0,0,0,3,0,1,0,1,False,False,False
