glomerulus,target_group,synapses,pn_roots,target_lhn_roots
DA1,PD2a1_b1,3,2,1
DC1,PV5a1,3,1,1
DC2,PV5a1,14,1,1
DC3,PD2a1_b1,1,1,1
DC4,PD2a1_b1,13,1,1
DC4,PV5a1,2,1,2
DL2d,PD2a1_b1,71,5,7
DL2d,PV5a1,35,7,6
DL2v,PD2a1_b1,88,4,6
DL2v,PV5a1,141,4,6
DL5,PD2a1_b1,2,1,1
DL5,PV5a1,14,1,4
DM1,PD2a1_b1,404,1,7
DM1,PV5a1,357,1,7
DM2,PD2a1_b1,9,2,5
DM2,PV5a1,98,2,7
DM3,PD2a1_b1,14,1,4
DM3,PV5a1,54,1,7
DM4,PD2a1_b1,230,2,8
DM4,PV5a1,321,2,7
DM5,PD2a1_b1,18,2,6
DM5,PV5a1,14,2,3
DM6,PD2a1_b1,5,1,2
DM6,PV5a1,60,3,5
DP1l,PD2a1_b1,98,2,7
DP1l,PV5a1,92,2,7
DP1m,PD2a1_b1,247,3,8
DP1m,PV5a1,407,3,7
V,PD2a1_b1,2,1,1
V,PV5a1,6,1,3
VA1v,PD2a1_b1,4,2,2
VA2,PD2a1_b1,193,1,7
VA2,PV5a1,345,1,7
VA3,PD2a1_b1,1,1,1
VA3,PV5a1,19,2,3
VA4,PD2a1_b1,57,1,7
VA4,PV5a1,45,1,6
VA5,PD2a1_b1,11,3,2
VA7l,PD2a1_b1,113,1,6
VA7l,PV5a1,2,1,2
VA7m,PV5a1,33,3,3
VC1,PV5a1,7,1,1
VC2,PD2a1_b1,10,1,5
VC2,PV5a1,31,1,6
VC3l,PD2a1_b1,29,4,2
VC3l,PV5a1,10,3,3
VC3m,PV5a1,7,2,2
VC4,PD2a1_b1,6,2,2
VC4,PV5a1,35,2,4
VC5,PV5a1,2,1,1
VL2a,PD2a1_b1,3,1,1
VM1,PD2a1_b1,17,2,1
VM1,PV5a1,16,2,2
VM2,PD2a1_b1,19,2,5
VM2,PV5a1,35,2,7
VM3,PD2a1_b1,90,2,7
VM3,PV5a1,132,2,7
VM4,PV5a1,4,1,1
VM5d,PD2a1_b1,15,4,3
VM5d,PV5a1,12,4,3
VM5v,PD2a1_b1,1,1,1
VM5v,PV5a1,1,1,1
VM7d,PD2a1_b1,24,3,3
VM7d,PV5a1,2,1,1
VM7v,PD2a1_b1,19,2,1
VM7v,PV5a1,1,1,1
VP2,PD2a1_b1,2,1,2
VP4,PD2a1_b1,9,1,1
mPN,PD2a1_b1,130,34,8
mPN,PV5a1,231,20,7
