glomerulus,pre_pt_root_id,pre_hemibrain_type,pre_side,target_group,synapses,target_lhn_roots
DA1,720575940604407468,DA1_lPN,right,PD2a1_b1,2,1
DA1,720575940630066007,DA1_lPN,right,PD2a1_b1,1,1
DC1,720575940621529435,DC1_adPN,right,PV5a1,3,1
DC2,720575940631193052,DC2_adPN,right,PV5a1,14,1
DC3,720575940637943374,DC3_adPN,right,PD2a1_b1,1,1
DC4,720575940630914858,DC4_adPN,right,PD2a1_b1,13,1
DC4,720575940652875681,DC4_vPN,right,PV5a1,2,2
DL2d,720575940609496585,DL2d_vPN,right,PV5a1,19,6
DL2d,720575940609903077,DL2d_adPN,right,PD2a1_b1,16,7
DL2d,720575940609903077,DL2d_adPN,right,PV5a1,2,2
DL2d,720575940613655483,DL2d_adPN,right,PD2a1_b1,6,3
DL2d,720575940613655483,DL2d_adPN,right,PV5a1,2,2
DL2d,720575940621123113,DL2d_adPN,right,PD2a1_b1,18,4
DL2d,720575940621123113,DL2d_adPN,right,PV5a1,4,3
DL2d,720575940624941244,DL2d_adPN,right,PD2a1_b1,14,4
DL2d,720575940624941244,DL2d_adPN,right,PV5a1,2,2
DL2d,720575940629451833,DL2d_vPN,right,PV5a1,3,1
DL2d,720575940630217086,DL2d_adPN,right,PD2a1_b1,17,4
DL2d,720575940630217086,DL2d_adPN,right,PV5a1,3,2
DL2v,720575940614714178,DL2v_adPN,right,PD2a1_b1,13,3
DL2v,720575940614714178,DL2v_adPN,right,PV5a1,32,5
DL2v,720575940619531373,DL2v_adPN,right,PD2a1_b1,18,3
DL2v,720575940619531373,DL2v_adPN,right,PV5a1,31,6
DL2v,720575940631161570,DL2v_adPN,right,PD2a1_b1,36,5
DL2v,720575940631161570,DL2v_adPN,right,PV5a1,42,4
DL2v,720575940637864355,DL2v_adPN,right,PD2a1_b1,21,5
DL2v,720575940637864355,DL2v_adPN,right,PV5a1,36,4
DL5,720575940639080765,DL5_adPN,right,PD2a1_b1,2,1
DL5,720575940639080765,DL5_adPN,right,PV5a1,14,4
DM1,720575940619071005,DM1_lPN,right,PD2a1_b1,404,7
DM1,720575940619071005,DM1_lPN,right,PV5a1,357,7
DM2,720575940637628762,DM2_lPN,right,PD2a1_b1,5,3
DM2,720575940637628762,DM2_lPN,right,PV5a1,39,7
DM2,720575940638624189,DM2_lPN,right,PD2a1_b1,4,3
DM2,720575940638624189,DM2_lPN,right,PV5a1,59,7
DM3,720575940630549370,DM3_adPN,right,PD2a1_b1,14,4
DM3,720575940630549370,DM3_adPN,right,PV5a1,54,7
DM4,720575940615366055,DM4_adPN,right,PD2a1_b1,223,8
DM4,720575940615366055,DM4_adPN,right,PV5a1,316,7
DM4,720575940622675494,DM4_vPN,right,PD2a1_b1,7,3
DM4,720575940622675494,DM4_vPN,right,PV5a1,5,2
DM5,720575940613864401,DM5_lPN,right,PD2a1_b1,11,3
DM5,720575940613864401,DM5_lPN,right,PV5a1,9,3
DM5,720575940642492576,DM5_lPN,right,PD2a1_b1,7,4
DM5,720575940642492576,DM5_lPN,right,PV5a1,5,2
DM6,720575940612699761,DM6_adPN,right,PD2a1_b1,5,2
DM6,720575940612699761,DM6_adPN,right,PV5a1,25,5
DM6,720575940623902471,DM6_adPN,right,PV5a1,21,5
DM6,720575940625493400,DM6_adPN,right,PV5a1,14,5
DP1l,720575940624106701,DP1l_vPN,right,PD2a1_b1,3,2
DP1l,720575940624106701,DP1l_vPN,right,PV5a1,40,7
DP1l,720575940635983770,DP1l_adPN,right,PD2a1_b1,95,7
DP1l,720575940635983770,DP1l_adPN,right,PV5a1,52,6
DP1m,720575940622726271,DP1m_adPN,right,PD2a1_b1,244,8
DP1m,720575940622726271,DP1m_adPN,right,PV5a1,372,7
DP1m,720575940625207019,DP1m_vPN,right,PD2a1_b1,2,1
DP1m,720575940625207019,DP1m_vPN,right,PV5a1,22,5
DP1m,720575940634658785,DP1m_vPN,right,PD2a1_b1,1,1
DP1m,720575940634658785,DP1m_vPN,right,PV5a1,13,3
V,720575940629301248,V_l2PN,right,PD2a1_b1,2,1
V,720575940629301248,V_l2PN,right,PV5a1,6,3
VA1v,720575940621696747,VA1v_adPN,right,PD2a1_b1,1,1
VA1v,720575940633165025,VA1v_adPN,right,PD2a1_b1,3,1
VA2,720575940609460491,VA2_adPN,right,PD2a1_b1,193,7
VA2,720575940609460491,VA2_adPN,right,PV5a1,345,7
VA3,720575940619456728,VA3_adPN,right,PV5a1,8,2
VA3,720575940629009513,VA3_adPN,right,PD2a1_b1,1,1
VA3,720575940629009513,VA3_adPN,right,PV5a1,11,2
VA4,720575940642086389,VA4_lPN,right,PD2a1_b1,57,7
VA4,720575940642086389,VA4_lPN,right,PV5a1,45,6
VA5,720575940621333696,VA5_lPN,right,PD2a1_b1,2,1
VA5,720575940632868563,VA5_lPN,right,PD2a1_b1,4,2
VA5,720575940633499548,VA5_lPN,right,PD2a1_b1,5,1
VA7l,720575940618277184,VA7l_adPN,right,PD2a1_b1,113,6
VA7l,720575940618277184,VA7l_adPN,right,PV5a1,2,2
VA7m,720575940609891886,VA7m_lPN,right,PV5a1,11,2
VA7m,720575940622574532,VA7m_lPN,right,PV5a1,11,3
VA7m,720575940628035543,VA7m_lPN,right,PV5a1,11,2
VC1,720575940633190847,VC1_lPN,right,PV5a1,7,1
VC2,720575940630097103,VC2_lPN,right,PD2a1_b1,10,5
VC2,720575940630097103,VC2_lPN,right,PV5a1,31,6
VC3l,720575940607439964,VC3l_adPN,right,PD2a1_b1,7,1
VC3l,720575940607439964,VC3l_adPN,right,PV5a1,3,1
VC3l,720575940621316033,VC3l_adPN,right,PD2a1_b1,6,2
VC3l,720575940621316033,VC3l_adPN,right,PV5a1,2,1
VC3l,720575940621533985,VC3l_adPN,right,PD2a1_b1,7,1
VC3l,720575940621533985,VC3l_adPN,right,PV5a1,5,2
VC3l,720575940623945404,VC3l_adPN,right,PD2a1_b1,9,1
VC3m,720575940630895055,VC3m_lvPN,right,PV5a1,4,2
VC3m,720575940631054634,VC3m_lvPN,right,PV5a1,3,1
VC4,720575940609447179,VC4_adPN,right,PD2a1_b1,3,2
VC4,720575940609447179,VC4_adPN,right,PV5a1,19,3
VC4,720575940626986885,VC4_adPN,right,PD2a1_b1,3,1
VC4,720575940626986885,VC4_adPN,right,PV5a1,16,4
VC5,720575940632698797,VC5_adPN,right,PV5a1,2,1
VL2a,720575940603464672,VL2a_adPN,right,PD2a1_b1,3,1
VM1,720575940606590338,VM1_lPN,right,PD2a1_b1,3,1
VM1,720575940606590338,VM1_lPN,right,PV5a1,7,1
VM1,720575940644004768,VM1_lPN,right,PD2a1_b1,14,1
VM1,720575940644004768,VM1_lPN,right,PV5a1,9,2
VM2,720575940607687260,VM2_adPN,right,PD2a1_b1,6,3
VM2,720575940607687260,VM2_adPN,right,PV5a1,18,4
VM2,720575940619280705,VM2_adPN,right,PD2a1_b1,13,5
VM2,720575940619280705,VM2_adPN,right,PV5a1,17,5
VM3,720575940616566133,VM3_adPN,right,PD2a1_b1,18,5
VM3,720575940616566133,VM3_adPN,right,PV5a1,40,7
VM3,720575940617917760,VM3_adPN,right,PD2a1_b1,72,7
VM3,720575940617917760,VM3_adPN,right,PV5a1,92,7
VM4,720575940617642832,VM4_lvPN,right,PV5a1,4,1
VM5d,720575940606649865,VM5d_adPN,right,PD2a1_b1,8,3
VM5d,720575940606649865,VM5d_adPN,right,PV5a1,5,2
VM5d,720575940629279544,VM5d_adPN,right,PD2a1_b1,2,1
VM5d,720575940629279544,VM5d_adPN,right,PV5a1,2,1
VM5d,720575940634325087,VM5d_adPN,right,PD2a1_b1,4,2
VM5d,720575940634325087,VM5d_adPN,right,PV5a1,3,1
VM5d,720575940639121571,VM5d_adPN,right,PD2a1_b1,1,1
VM5d,720575940639121571,VM5d_adPN,right,PV5a1,2,1
VM5v,720575940624661552,VM5v_adPN,right,PD2a1_b1,1,1
VM5v,720575940624661552,VM5v_adPN,right,PV5a1,1,1
VM7d,720575940610100437,VM7d_adPN,right,PD2a1_b1,14,3
VM7d,720575940617903168,VM7d_adPN,right,PD2a1_b1,7,1
VM7d,720575940617903168,VM7d_adPN,right,PV5a1,2,1
VM7d,720575940631462200,VM7d_adPN,right,PD2a1_b1,3,1
VM7v,720575940605309361,VM7v_adPN,right,PD2a1_b1,12,1
VM7v,720575940605309361,VM7v_adPN,right,PV5a1,1,1
VM7v,720575940608628419,VM7v_adPN,right,PD2a1_b1,7,1
VP2,720575940608293129,VP2_adPN,right,PD2a1_b1,2,2
VP4,720575940626043218,VP4_vPN,right,PD2a1_b1,9,1
mPN,720575940604985265,M_vPNml84,right,PD2a1_b1,1,1
mPN,720575940604985265,M_vPNml84,right,PV5a1,1,1
mPN,720575940606498313,M_lvPNm41,right,PD2a1_b1,5,1
mPN,720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,3,2
mPN,720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,1,1
mPN,720575940610070442,"M_lPNm12,M_lPNm13",right,PD2a1_b1,24,3
mPN,720575940611856498,M_lvPNm41,right,PD2a1_b1,7,1
mPN,720575940612468594,M_smPN6t2,left,PD2a1_b1,2,1
mPN,720575940613058802,M_adPNm8,right,PD2a1_b1,2,1
mPN,720575940615529414,M_spPN4t9,right,PD2a1_b1,2,1
mPN,720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,1,1
mPN,720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,16,5
mPN,720575940617381681,"M_lPNm12,M_lPNm13",right,PD2a1_b1,2,1
mPN,720575940618087197,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,2,2
mPN,720575940620024396,M_vPNml84,right,PV5a1,1,1
mPN,720575940620233307,"M_lPNm12,M_lPNm13",right,PD2a1_b1,14,2
mPN,720575940621141542,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,2,2
mPN,720575940621141542,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,37,7
mPN,720575940621196224,M_spPN5t10,left,PD2a1_b1,1,1
mPN,720575940621414676,M_lvPNm31,right,PD2a1_b1,2,2
mPN,720575940621414676,M_lvPNm31,right,PV5a1,1,1
mPN,720575940622793310,M_lvPNm25,right,PD2a1_b1,2,2
mPN,720575940622793310,M_lvPNm25,right,PV5a1,3,1
mPN,720575940623872263,M_vPNml84,right,PV5a1,1,1
mPN,720575940623897613,M_vPNml57,right,PD2a1_b1,8,2
mPN,720575940623897613,M_vPNml57,right,PV5a1,4,2
mPN,720575940626657802,M_vPNml55,right,PD2a1_b1,2,1
mPN,720575940626768656,"M_lPNm12,M_lPNm13",right,PD2a1_b1,3,1
mPN,720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,2,1
mPN,720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,19,5
mPN,720575940627129290,M_vPNml50,right,PV5a1,29,5
mPN,720575940627239946,M_vPNml72,right,PV5a1,1,1
mPN,720575940627677017,M_lvPNm24,right,PD2a1_b1,1,1
mPN,720575940627677017,M_lvPNm24,right,PV5a1,1,1
mPN,720575940627958889,M_vPNml51,right,PD2a1_b1,1,1
mPN,720575940628059948,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,2,2
mPN,720575940628059948,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,32,6
mPN,720575940628834832,M_lvPNm28,right,PD2a1_b1,3,2
mPN,720575940631633401,M_adPNm8,right,PD2a1_b1,2,1
mPN,720575940631633401,M_adPNm8,right,PV5a1,10,3
mPN,720575940631683927,M_l2PNl20,right,PD2a1_b1,4,3
mPN,720575940632890681,M_lvPNm42,right,PD2a1_b1,3,1
mPN,720575940633036369,M_lvPNm29,right,PD2a1_b1,3,2
mPN,720575940635465396,M_vPNml69,right,PD2a1_b1,2,1
mPN,720575940636096948,M_lvPNm42,right,PD2a1_b1,4,1
mPN,720575940637632654,"M_vPNml56,M_vPNml58",right,PD2a1_b1,3,2
mPN,720575940639479366,M_lvPNm39,right,PD2a1_b1,6,2
mPN,720575940639479366,M_lvPNm39,right,PV5a1,11,5
mPN,720575940640094592,M_vPNml84,right,PD2a1_b1,1,1
mPN,720575940640094592,M_vPNml84,right,PV5a1,4,3
mPN,720575940640372021,M_vPNml50,right,PV5a1,14,5
mPN,720575940640835672,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,1,1
mPN,720575940640835672,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PV5a1,43,7
mPN,720575940650946425,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,PD2a1_b1,9,2
