post_pt_root_id,mPN_hemibrain_type,mPN_cell_type,mPN_side,input_glomerulus,synapses,orn_roots
720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,VM2,21,9
720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,VA3,1,1
720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,DC4,6,3
720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,DM3,4,3
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VM5d,12,6
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VA3,6,2
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VM3,2,2
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VC4,1,1
720575940628059948,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VM3,2,2
720575940640835672,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,DM3,10,8
