glomerulus,PD2a1_b1,PV5a1,total_weight
DM1,784,810,1594
DP1m,471,816,1287
VA2,332,769,1101
DM4,404,672,1076
mPN,264,441,705
VM3,158,298,456
DL2v,186,235,421
DP1l,211,207,418
DM2,33,232,265
VA4,122,124,246
DL2d,134,78,212
VA7l,189,2,191
DM6,8,130,138
VC4,8,92,100
VC2,16,75,91
VM2,31,58,89
VC3l,54,24,78
DM5,36,39,75
DM3,14,54,68
VM7v,28,19,47
VM1,17,25,42
VM5d,19,18,37
VM7d,25,6,31
DC2,1,26,27
VA3,1,26,27
DC4,22,3,25
DL5,3,18,21
V,10,10,20
VA1v,12,8,20
DC3,5,10,15
VM5v,4,6,10
VL2a,5,3,8
DA1,4,1,5
