glomerulus,pre_pt_root_id,pre_hemibrain_type,pre_cell_type,pre_side,target_group,weight,n_target_roots
DA1,720575940604407468,DA1_lPN,,right,PD2a1_b1,2,1
DA1,720575940621185050,DA1_lPN,,left,PV5a1,1,1
DA1,720575940630066007,DA1_lPN,,right,PD2a1_b1,1,1
DA1,720575940646122804,DA1_vPN,,left,PD2a1_b1,1,1
DC2,720575940616824588,DC2_adPN,,left,PD2a1_b1,1,1
DC2,720575940627160322,DC2_adPN,,left,PV5a1,12,2
DC2,720575940631193052,DC2_adPN,,right,PV5a1,14,1
DC3,720575940613419695,DC3_adPN,,left,PD2a1_b1,1,1
DC3,720575940613419695,DC3_adPN,,left,PV5a1,6,1
DC3,720575940630131663,DC3_adPN,,left,PD2a1_b1,3,1
DC3,720575940630131663,DC3_adPN,,left,PV5a1,3,1
DC3,720575940634939327,DC3_adPN,,left,PV5a1,1,1
DC3,720575940637943374,DC3_adPN,,right,PD2a1_b1,1,1
DC4,720575940613579943,DC4_adPN,,left,PD2a1_b1,9,1
DC4,720575940630914858,DC4_adPN,,right,PD2a1_b1,13,1
DC4,720575940633166151,DC4_vPN,,left,PV5a1,1,1
DC4,720575940652875681,DC4_vPN,,right,PV5a1,2,2
DL2d,720575940605421442,DL2d_adPN,,left,PD2a1_b1,7,3
DL2d,720575940605421442,DL2d_adPN,,left,PV5a1,1,1
DL2d,720575940609496585,DL2d_vPN,,right,PV5a1,19,6
DL2d,720575940609903077,DL2d_adPN,,right,PD2a1_b1,16,7
DL2d,720575940609903077,DL2d_adPN,,right,PV5a1,2,2
DL2d,720575940613655483,DL2d_adPN,,right,PD2a1_b1,6,3
DL2d,720575940613655483,DL2d_adPN,,right,PV5a1,2,2
DL2d,720575940613706866,DL2d_vPN,,left,PV5a1,13,6
DL2d,720575940620103590,DL2d_adPN,,left,PD2a1_b1,7,4
DL2d,720575940620103590,DL2d_adPN,,left,PV5a1,11,2
DL2d,720575940621123113,DL2d_adPN,,right,PD2a1_b1,18,4
DL2d,720575940621123113,DL2d_adPN,,right,PV5a1,4,3
DL2d,720575940623922869,DL2d_vPN,,left,PV5a1,6,3
DL2d,720575940624941244,DL2d_adPN,,right,PD2a1_b1,14,4
DL2d,720575940624941244,DL2d_adPN,,right,PV5a1,2,2
DL2d,720575940628316047,DL2d_adPN,,left,PD2a1_b1,24,4
DL2d,720575940628316047,DL2d_adPN,,left,PV5a1,7,5
DL2d,720575940629451833,DL2d_vPN,,right,PV5a1,3,1
DL2d,720575940630217086,DL2d_adPN,,right,PD2a1_b1,17,4
DL2d,720575940630217086,DL2d_adPN,,right,PV5a1,3,2
DL2d,720575940630928715,DL2d_adPN,,left,PD2a1_b1,13,3
DL2d,720575940630928715,DL2d_adPN,,left,PV5a1,1,1
DL2d,720575940642046453,DL2d_adPN,,left,PD2a1_b1,12,5
DL2d,720575940642046453,DL2d_adPN,,left,PV5a1,4,2
DL2v,720575940611022515,DL2v_adPN,,left,PD2a1_b1,25,4
DL2v,720575940611022515,DL2v_adPN,,left,PV5a1,15,5
DL2v,720575940614714178,DL2v_adPN,,right,PD2a1_b1,13,3
DL2v,720575940614714178,DL2v_adPN,,right,PV5a1,32,5
DL2v,720575940619531373,DL2v_adPN,,right,PD2a1_b1,18,3
DL2v,720575940619531373,DL2v_adPN,,right,PV5a1,31,6
DL2v,720575940620467438,DL2v_adPN,,left,PD2a1_b1,27,4
DL2v,720575940620467438,DL2v_adPN,,left,PV5a1,37,3
DL2v,720575940627772009,DL2v_adPN,,left,PD2a1_b1,29,4
DL2v,720575940627772009,DL2v_adPN,,left,PV5a1,24,3
DL2v,720575940628181520,DL2v_adPN,,left,PD2a1_b1,17,3
DL2v,720575940628181520,DL2v_adPN,,left,PV5a1,18,5
DL2v,720575940631161570,DL2v_adPN,,right,PD2a1_b1,36,5
DL2v,720575940631161570,DL2v_adPN,,right,PV5a1,42,4
DL2v,720575940637864355,DL2v_adPN,,right,PD2a1_b1,21,5
DL2v,720575940637864355,DL2v_adPN,,right,PV5a1,36,4
DL5,720575940617207185,DL5_adPN,,left,PD2a1_b1,1,1
DL5,720575940617207185,DL5_adPN,,left,PV5a1,4,3
DL5,720575940639080765,DL5_adPN,,right,PD2a1_b1,2,1
DL5,720575940639080765,DL5_adPN,,right,PV5a1,14,4
DM1,720575940619071005,DM1_lPN,,right,PD2a1_b1,404,7
DM1,720575940619071005,DM1_lPN,,right,PV5a1,357,7
DM1,720575940630770042,DM1_lPN,,left,PD2a1_b1,380,8
DM1,720575940630770042,DM1_lPN,,left,PV5a1,453,8
DM2,720575940630024566,DM2_lPN,,left,PD2a1_b1,11,3
DM2,720575940630024566,DM2_lPN,,left,PV5a1,74,5
DM2,720575940637628762,DM2_lPN,,right,PD2a1_b1,5,3
DM2,720575940637628762,DM2_lPN,,right,PV5a1,39,7
DM2,720575940638624189,DM2_lPN,,right,PD2a1_b1,4,3
DM2,720575940638624189,DM2_lPN,,right,PV5a1,59,7
DM2,720575940638633535,DM2_lPN,,left,PD2a1_b1,13,3
DM2,720575940638633535,DM2_lPN,,left,PV5a1,60,8
DM3,720575940630549370,DM3_adPN,,right,PD2a1_b1,14,4
DM3,720575940630549370,DM3_adPN,,right,PV5a1,54,7
DM4,720575940615366055,DM4_adPN,,right,PD2a1_b1,223,8
DM4,720575940615366055,DM4_adPN,,right,PV5a1,316,7
DM4,720575940622675494,DM4_vPN,,right,PD2a1_b1,7,3
DM4,720575940622675494,DM4_vPN,,right,PV5a1,5,2
DM4,720575940623528925,DM4_adPN,,left,PD2a1_b1,173,8
DM4,720575940623528925,DM4_adPN,,left,PV5a1,351,8
DM4,720575940628323919,DM4_vPN,,left,PD2a1_b1,1,1
DM5,720575940613864401,DM5_lPN,,right,PD2a1_b1,11,3
DM5,720575940613864401,DM5_lPN,,right,PV5a1,9,3
DM5,720575940629926159,DM5_lPN,,left,PD2a1_b1,7,3
DM5,720575940629926159,DM5_lPN,,left,PV5a1,2,1
DM5,720575940640032896,DM5_lPN,,left,PD2a1_b1,6,3
DM5,720575940640032896,DM5_lPN,,left,PV5a1,15,2
DM5,720575940642492576,DM5_lPN,,right,PD2a1_b1,7,4
DM5,720575940642492576,DM5_lPN,,right,PV5a1,5,2
DM5,720575940644258327,DM5_lPN,,left,PD2a1_b1,5,3
DM5,720575940644258327,DM5_lPN,,left,PV5a1,8,2
DM6,720575940612699761,DM6_adPN,,right,PD2a1_b1,5,2
DM6,720575940612699761,DM6_adPN,,right,PV5a1,25,5
DM6,720575940620437339,DM6_adPN,,left,PD2a1_b1,1,1
DM6,720575940620437339,DM6_adPN,,left,PV5a1,22,3
DM6,720575940622785062,DM6_adPN,,left,PD2a1_b1,1,1
DM6,720575940622785062,DM6_adPN,,left,PV5a1,25,3
DM6,720575940623902471,DM6_adPN,,right,PV5a1,21,5
DM6,720575940625493400,DM6_adPN,,right,PV5a1,14,5
DM6,720575940631328104,DM6_adPN,,left,PD2a1_b1,1,1
DM6,720575940631328104,DM6_adPN,,left,PV5a1,23,5
DP1l,720575940624106701,DP1l_vPN,,right,PD2a1_b1,3,2
DP1l,720575940624106701,DP1l_vPN,,right,PV5a1,40,7
DP1l,720575940631305068,DP1l_vPN,,left,PV5a1,24,6
DP1l,720575940635983770,DP1l_adPN,,right,PD2a1_b1,95,7
