id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,pre_cell_type,pre_hemibrain_type,pre_side,glomerulus,pre_cell_sub_class,target_group,target_cell_type,target_hemibrain_type,target_side
103380280,82403724047481326,720575940615366055,82403724047479944,720575940620993008,103380280,LH_R,,DM4_adPN,right,DM4,uniglomerular,PV5a1,,LHPV5a1,right
68750273,82474230230461589,720575940615366055,82474230230488343,720575940630991500,68750273,LH_R,,DM4_adPN,right,DM4,uniglomerular,PD2a1_b1,CB3205,LHPD2a1,right
40860010,82474092724462336,720575940621316033,82474092724462352,720575940627631125,40860010,SLP_R,VC3_adPN,VC3l_adPN,right,VC3l,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
70158593,82544805133101340,720575940621316033,82544805133101253,720575940622484182,70158593,LH_R,VC3_adPN,VC3l_adPN,right,VC3l,uniglomerular,PV5a1,,LHPV5a1,right
9399872,82474230230355515,720575940626986885,82474230230363729,720575940631962705,9399872,LH_R,,VC4_adPN,right,VC4,uniglomerular,PV5a1,,LHPV5a1,right
158730341,76633349652809316,720575940630770042,76633349652815173,720575940617903617,158730341,LH_L,,DM1_lPN,left,DM1,uniglomerular,PV5a1,,LHPV5a1,left
62522491,76774018488976450,720575940630770042,76774018488977929,720575940627372346,62522491,LH_L,,DM1_lPN,left,DM1,uniglomerular,PV5a1,,LHPV5a1,left
66165903,76703581025187508,720575940630770042,76703581025193659,720575940614182398,66165903,LH_L,,DM1_lPN,left,DM1,uniglomerular,PV5a1,,LHPV5a1,left
66638756,76422243487467628,720575940630770042,76492612231634712,720575940614182398,66638756,LH_L,,DM1_lPN,left,DM1,uniglomerular,PV5a1,,LHPV5a1,left
4653260,76914824629623175,720575940630770042,76914824629615562,720575940626508346,4653260,LH_L,,DM1_lPN,left,DM1,uniglomerular,PV5a1,,LHPV5a1,left
228900967,81700105392267816,720575940615366055,81700105392270464,720575940632389028,228900967,MB_CA_R,,DM4_adPN,right,DM4,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,right
68768082,82544598974670579,720575940617917760,82544598974668102,720575940632389028,68768082,LH_R,,VM3_adPN,right,VM3,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,right
144210634,82262986559217972,720575940630914858,82262986559214103,720575940632389028,144210634,LH_R,,DC4_adPN,right,DC4,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,right
189692415,82403998925186885,720575940639080765,82403998925183306,720575940632389028,189692415,LH_R,,DL5_adPN,right,DL5,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,right
107143230,82404067644539690,720575940623945404,82404067644609882,720575940632389028,107143230,LH_R,VC3_adPN,VC3l_adPN,right,VC3l,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,right
