target_group,glomerulus,weight,n_pre_roots,n_target_roots
PD2a1_b1,DA1,3,2,1
PD2a1_b1,DC3,1,1,1
PD2a1_b1,DC4,13,1,1
PD2a1_b1,DL2d,71,5,7
PD2a1_b1,DL2v,88,4,6
PD2a1_b1,DL5,2,1,1
PD2a1_b1,DM1,404,1,7
PD2a1_b1,DM2,9,2,5
PD2a1_b1,DM3,14,1,4
PD2a1_b1,DM4,230,2,8
PD2a1_b1,DM5,18,2,6
PD2a1_b1,DM6,5,1,2
PD2a1_b1,DP1l,98,2,7
PD2a1_b1,DP1m,247,3,8
PD2a1_b1,V,2,1,1
PD2a1_b1,VA1v,4,2,2
PD2a1_b1,VA2,193,1,7
PD2a1_b1,VA3,1,1,1
PD2a1_b1,VA4,57,1,7
PD2a1_b1,VA5,11,3,2
PD2a1_b1,VA7l,113,1,6
PD2a1_b1,VC2,10,1,5
PD2a1_b1,VC3l,29,4,2
PD2a1_b1,VC4,6,2,2
PD2a1_b1,VL2a,3,1,1
PD2a1_b1,VM1,17,2,1
PD2a1_b1,VM2,19,2,5
PD2a1_b1,VM3,90,2,7
PD2a1_b1,VM5d,15,4,3
PD2a1_b1,VM5v,1,1,1
PD2a1_b1,VM7d,24,3,3
PD2a1_b1,VM7v,19,2,1
PD2a1_b1,VP2,2,1,2
PD2a1_b1,VP4,9,1,1
PD2a1_b1,mPN,130,34,8
PV5a1,DC1,3,1,1
PV5a1,DC2,14,1,1
PV5a1,DC4,2,1,2
PV5a1,DL2d,35,7,6
PV5a1,DL2v,141,4,6
PV5a1,DL5,14,1,4
PV5a1,DM1,357,1,7
PV5a1,DM2,98,2,7
PV5a1,DM3,54,1,7
PV5a1,DM4,321,2,7
PV5a1,DM5,14,2,3
PV5a1,DM6,60,3,5
PV5a1,DP1l,92,2,7
PV5a1,DP1m,407,3,7
PV5a1,V,6,1,3
PV5a1,VA2,345,1,7
PV5a1,VA3,19,2,3
PV5a1,VA4,45,1,6
PV5a1,VA7l,2,1,2
PV5a1,VA7m,33,3,3
PV5a1,VC1,7,1,1
PV5a1,VC2,31,1,6
PV5a1,VC3l,10,3,3
PV5a1,VC3m,7,2,2
PV5a1,VC4,35,2,4
PV5a1,VC5,2,1,1
PV5a1,VM1,16,2,2
PV5a1,VM2,35,2,7
PV5a1,VM3,132,2,7
PV5a1,VM4,4,1,1
PV5a1,VM5d,12,4,3
PV5a1,VM5v,1,1,1
PV5a1,VM7d,2,1,1
PV5a1,VM7v,1,1,1
PV5a1,mPN,231,20,7
