target_group,root_id,cell_type,hemibrain_type,side,status
PD2a1_b1,720575940615975474,CB2977,LHPD2a1,left,
PD2a1_b1,720575940617910017,CB2842,LHPD2a1,left,
PD2a1_b1,720575940627221011,CB3009,LHPD2a1,left,
PD2a1_b1,720575940630050391,CB2842,LHPD2a1,left,
PD2a1_b1,720575940635128089,CB3205,LHPD2a1,left,
PD2a1_b1,720575940627631125,CB2842,LHPD2a1,right,
PD2a1_b1,720575940630149829,CB2977,LHPD2a1,right,
PD2a1_b1,720575940630991500,CB3205,LHPD2a1,right,
PD2a1_b1,720575940634792884,CB2842,LHPD2a1,right,
PD2a1_b1,720575940645673508,CB3009,LHPD2a1,right,
PD2a1_b1,720575940614928234,CB3198,LHPD2b1,left,
PD2a1_b1,720575940627211407,CB3198,LHPD2b1,left,
PD2a1_b1,720575940632818221,CB0339,LHPD2b1,left,
PD2a1_b1,720575940620814913,CB3198,LHPD2b1,right,
PD2a1_b1,720575940632389028,CB0339,LHPD2b1,right,
PD2a1_b1,720575940633320785,CB3198,LHPD2b1,right,
PV5a1,720575940614182398,,LHPV5a1,left,
PV5a1,720575940617903617,,LHPV5a1,left,
PV5a1,720575940621359988,,LHPV5a1,left,
PV5a1,720575940626508346,,LHPV5a1,left,
PV5a1,720575940626967070,,LHPV5a1,left,
PV5a1,720575940627372346,,LHPV5a1,left,
PV5a1,720575940631225871,,LHPV5a1,left,
PV5a1,720575940631234575,,LHPV5a1,left,
PV5a1,720575940617540509,,LHPV5a1,right,
PV5a1,720575940620993008,,LHPV5a1,right,
PV5a1,720575940622484182,,LHPV5a1,right,
PV5a1,720575940631962705,,LHPV5a1,right,
PV5a1,720575940631978287,,LHPV5a1,right,
PV5a1,720575940632462500,,LHPV5a1,right,
PV5a1,720575940636488110,,LHPV5a1,right,
