target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PV5a1,635062078,609941228,37,DP1m_adPN,LHPV5a1_a,DP1m_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 37, 'post': 37}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,573683455,31,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 31, 'post': 31}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1977579449,609941228,26,VA2_adPN,LHPV5a1_a,VA2_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 26, 'post': 26}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1977579449,573333284,25,VA2_adPN,LHPV5a1_a,VA2_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 25, 'post': 25}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,635062078,573333284,20,DP1m_adPN,LHPV5a1_a,DP1m_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 20, 'post': 20}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,635062078,604368022,20,DP1m_adPN,LHPV5a1_a,DP1m_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 20, 'post': 20}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,424789697,604368022,19,MBON02,LHPV5a1_a,MBON02(B2B'2a)_R,LHPV5a1_a_R,"{'SNP(R)': {'pre': 19, 'post': 19}, 'SIP(R)': {'pre': 19, 'post': 19}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,609941228,19,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 19, 'post': 19}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,604368022,18,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 18, 'post': 18}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,609941228,18,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 18, 'post': 18}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,573333284,17,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 17, 'post': 17}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1977579449,604368022,17,VA2_adPN,LHPV5a1_a,VA2_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 17, 'post': 17}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,482071823,546511447,16,,LHPV5a1_b,(MBDLaxon1),LHPV5a1_b_R,"{'SNP(R)': {'pre': 16, 'post': 16}, 'SIP(R)': {'pre': 13, 'post': 13}, 'SLP(R)': {'pre': 3, 'post': 3}}",LHPV5a1_b,LHPV5a1_b_R
PV5a1,330268940,573683455,15,LHCENT9,LHPV5a1_a,LHCENT9_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 9, 'post': 9}, 'SNP(R)': {'pre': 6, 'post': 6}, 'SIP(R)': {'pre': 6, 'post': 6}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,424789697,573333284,15,MBON02,LHPV5a1_a,MBON02(B2B'2a)_R,LHPV5a1_a_R,"{'SNP(R)': {'pre': 15, 'post': 15}, 'SIP(R)': {'pre': 12, 'post': 12}, 'SLP(R)': {'pre': 3, 'post': 3}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,637121971,604368022,15,LHAV4a2,LHPV5a1_a,LHAV4a2_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 15, 'post': 15}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,604368022,14,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 14, 'post': 14}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,5813098080,573333284,14,LHAV4a1_b,LHPV5a1_a,LHAV4a1_b_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 14, 'post': 14}}",LHPV5a1_a,LHPV5a1_a_R
