target_group,glomerulus,weight,n_edges,n_pre_bodies,n_target_bodies
PD2a1_b1,DA1,25,11,6,3
PD2a1_b1,DA3,2,2,2,2
PD2a1_b1,DC3,15,5,3,3
PD2a1_b1,DC4,3,3,2,3
PD2a1_b1,DL2d,33,8,4,4
PD2a1_b1,DL2v,34,10,3,6
PD2a1_b1,DL3,1,1,1,1
PD2a1_b1,DL5,3,1,1,1
PD2a1_b1,DM1,290,9,1,9
PD2a1_b1,DM2,57,13,2,8
PD2a1_b1,DM3,19,6,2,6
PD2a1_b1,DM4,128,9,2,8
PD2a1_b1,DM5,6,5,2,4
PD2a1_b1,DM6,11,5,3,3
PD2a1_b1,DP1l,92,7,1,7
PD2a1_b1,DP1m,144,9,2,8
PD2a1_b1,V,13,7,3,4
PD2a1_b1,VA1d,2,1,1,1
PD2a1_b1,VA1v,4,3,3,2
PD2a1_b1,VA2,60,8,1,8
PD2a1_b1,VA3,12,4,2,3
PD2a1_b1,VA4,54,4,1,4
PD2a1_b1,VA5,7,1,1,1
PD2a1_b1,VA6,2,1,1,1
PD2a1_b1,VA7l,22,5,1,5
PD2a1_b1,VC1,1,1,1,1
PD2a1_b1,VC2,5,3,1,3
PD2a1_b1,VC3l,8,3,2,2
PD2a1_b1,VC4,8,5,3,4
PD2a1_b1,VM2,8,5,2,5
PD2a1_b1,VM3,38,12,2,9
PD2a1_b1,VM5d,1,1,1,1
PD2a1_b1,VM7d,8,6,2,4
PD2a1_b1,VM7v,9,3,2,2
PD2a1_b1,VP2,1,1,1,1
PD2a1_b1,VP4,1,1,1,1
PD2a1_b1,mPN,124,56,28,9
PV5a1,DL2d,10,6,3,4
PV5a1,DL2v,8,5,3,4
PV5a1,DL3,1,1,1,1
PV5a1,DL5,2,2,1,2
PV5a1,DM1,97,7,1,7
PV5a1,DM2,25,11,2,6
PV5a1,DM3,40,11,2,7
PV5a1,DM4,73,7,2,6
PV5a1,DM5,3,2,2,2
PV5a1,DM6,28,12,4,4
PV5a1,DP1l,34,8,2,4
PV5a1,DP1m,82,7,2,4
PV5a1,V,2,1,1,1
PV5a1,VA1v,1,1,1,1
PV5a1,VA2,74,5,1,5
PV5a1,VA3,1,1,1,1
PV5a1,VA4,11,4,1,4
PV5a1,VA7l,2,1,1,1
PV5a1,VA7m,17,6,3,3
PV5a1,VC2,8,3,1,3
PV5a1,VC3l,1,1,1,1
PV5a1,VC3m,2,2,1,2
PV5a1,VC4,12,6,3,3
PV5a1,VM1,4,2,1,2
PV5a1,VM2,15,9,2,5
PV5a1,VM3,54,13,2,7
PV5a1,VM7d,1,1,1,1
PV5a1,VM7v,3,3,2,2
PV5a1,mPN,96,52,24,7
