target_group,type_pre,glomerulus,weight,n_edges,n_pre_bodies,n_target_bodies
PD2a1_b1,DA1_lPN,DA1,25,11,6,3
PD2a1_b1,DA3_adPN,DA3,2,2,2,2
PD2a1_b1,DC3_adPN,DC3,15,5,3,3
PD2a1_b1,DC4_adPN,DC4,2,2,1,2
PD2a1_b1,DC4_vPN,DC4,1,1,1,1
PD2a1_b1,DL2d_adPN,DL2d,33,8,4,4
PD2a1_b1,DL2v_adPN,DL2v,34,10,3,6
PD2a1_b1,DL3_lPN,DL3,1,1,1,1
PD2a1_b1,DL5_adPN,DL5,3,1,1,1
PD2a1_b1,DM1_lPN,DM1,290,9,1,9
PD2a1_b1,DM2_lPN,DM2,57,13,2,8
PD2a1_b1,DM3_adPN,DM3,18,5,1,5
PD2a1_b1,DM3_vPN,DM3,1,1,1,1
PD2a1_b1,DM4_adPN,DM4,127,8,1,8
PD2a1_b1,DM4_vPN,DM4,1,1,1,1
PD2a1_b1,DM5_lPN,DM5,6,5,2,4
PD2a1_b1,DM6_adPN,DM6,11,5,3,3
PD2a1_b1,DP1l_adPN,DP1l,92,7,1,7
PD2a1_b1,DP1m_adPN,DP1m,143,8,1,8
PD2a1_b1,DP1m_vPN,DP1m,1,1,1,1
PD2a1_b1,M_adPNm8,mPN,4,2,2,1
PD2a1_b1,M_l2PNl21,mPN,30,6,1,6
PD2a1_b1,M_l2PNm14,mPN,1,1,1,1
PD2a1_b1,M_lPNm12,mPN,10,3,1,3
PD2a1_b1,M_lvPNm24,mPN,7,4,2,2
PD2a1_b1,M_lvPNm26,mPN,1,1,1,1
PD2a1_b1,M_lvPNm27,mPN,2,1,1,1
PD2a1_b1,M_lvPNm28,mPN,1,1,1,1
PD2a1_b1,M_lvPNm29,mPN,6,4,1,4
PD2a1_b1,M_lvPNm31,mPN,12,4,1,4
PD2a1_b1,M_lvPNm39,mPN,5,3,1,3
PD2a1_b1,M_smPNm1,mPN,1,1,1,1
PD2a1_b1,M_spPN4t9,mPN,1,1,1,1
PD2a1_b1,M_spPN5t10,mPN,2,2,1,2
PD2a1_b1,M_vPNml51,mPN,2,1,1,1
PD2a1_b1,M_vPNml58,mPN,4,3,2,3
