type_pre,PD2a1_b1,PV5a1,total_weight
DM1_lPN,290.0,97.0,387.0
DP1m_adPN,143.0,79.0,222.0
DM4_adPN,127.0,72.0,199.0
VA2_adPN,60.0,74.0,134.0
DP1l_adPN,92.0,17.0,109.0
VM3_adPN,38.0,54.0,92.0
DM2_lPN,57.0,25.0,82.0
VA4_lPN,54.0,11.0,65.0
DM3_adPN,18.0,28.0,46.0
DL2v_adPN,34.0,8.0,42.0
DM6_adPN,11.0,28.0,39.0
DL2d_adPN,33.0,5.0,38.0
M_l2PNl21,30.0,3.0,33.0
VA7l_adPN,22.0,2.0,24.0
VM2_adPN,8.0,15.0,23.0
VC4_adPN,8.0,12.0,20.0
M_vPNml83,15.0,3.0,18.0
M_vPNml89,11.0,5.0,16.0
M_lvPNm31,12.0,2.0,14.0
DM3_vPN,1.0,12.0,13.0
VC2_lPN,5.0,8.0,13.0
VA3_adPN,12.0,1.0,13.0
VM7v_adPN,9.0,3.0,12.0
DM5_lPN,6.0,3.0,9.0
V_l2PN,7.0,2.0,9.0
VC3l_adPN,8.0,1.0,9.0
VM7d_adPN,8.0,1.0,9.0
M_lvPNm24,7.0,1.0,8.0
M_adPNm8,4.0,3.0,7.0
M_lvPNm39,5.0,1.0,6.0
M_vPNml51,2.0,3.0,5.0
DL5_adPN,3.0,2.0,5.0
M_vPNml58,4.0,1.0,5.0
DP1m_vPN,1.0,3.0,4.0
M_vPNml84,2.0,1.0,3.0
VA1v_adPN,2.0,1.0,3.0
DL3_lPN,1.0,1.0,2.0
DM4_vPN,1.0,1.0,2.0
M_lvPNm26,1.0,1.0,2.0
