target_group,type_pre,weight,n_edges,n_pre_bodies,n_target_bodies
PD2a1_b1,DA1_lPN,25,11,6,3
PD2a1_b1,DA3_adPN,2,2,2,2
PD2a1_b1,DC3_adPN,15,5,3,3
PD2a1_b1,DC4_adPN,2,2,1,2
PD2a1_b1,DC4_vPN,1,1,1,1
PD2a1_b1,DL2d_adPN,33,8,4,4
PD2a1_b1,DL2v_adPN,34,10,3,6
PD2a1_b1,DL3_lPN,1,1,1,1
PD2a1_b1,DL5_adPN,3,1,1,1
PD2a1_b1,DM1_lPN,290,9,1,9
PD2a1_b1,DM2_lPN,57,13,2,8
PD2a1_b1,DM3_adPN,18,5,1,5
PD2a1_b1,DM3_vPN,1,1,1,1
PD2a1_b1,DM4_adPN,127,8,1,8
PD2a1_b1,DM4_vPN,1,1,1,1
PD2a1_b1,DM5_lPN,6,5,2,4
PD2a1_b1,DM6_adPN,11,5,3,3
PD2a1_b1,DP1l_adPN,92,7,1,7
PD2a1_b1,DP1m_adPN,143,8,1,8
PD2a1_b1,DP1m_vPN,1,1,1,1
PD2a1_b1,VA1d_adPN,2,1,1,1
PD2a1_b1,VA1v_adPN,2,1,1,1
PD2a1_b1,VA1v_vPN,2,2,2,2
PD2a1_b1,VA2_adPN,60,8,1,8
PD2a1_b1,VA3_adPN,12,4,2,3
PD2a1_b1,VA4_lPN,54,4,1,4
PD2a1_b1,VA5_lPN,7,1,1,1
PD2a1_b1,VA6_adPN,2,1,1,1
PD2a1_b1,VA7l_adPN,22,5,1,5
PD2a1_b1,VC1_lPN,1,1,1,1
PD2a1_b1,VC2_lPN,5,3,1,3
PD2a1_b1,VC3l_adPN,8,3,2,2
PD2a1_b1,VC4_adPN,8,5,3,4
PD2a1_b1,VM2_adPN,8,5,2,5
PD2a1_b1,VM3_adPN,38,12,2,9
PD2a1_b1,VM5d_adPN,1,1,1,1
PD2a1_b1,VM7d_adPN,8,6,2,4
PD2a1_b1,VM7v_adPN,9,3,2,2
PD2a1_b1,VP2_adPN,1,1,1,1
PD2a1_b1,VP4_vPN,1,1,1,1
PD2a1_b1,V_ilPN,6,5,2,4
PD2a1_b1,V_l2PN,7,2,1,2
PV5a1,DL2d_adPN,5,3,2,2
PV5a1,DL2d_vPN,5,3,1,3
PV5a1,DL2v_adPN,8,5,3,4
PV5a1,DL3_lPN,1,1,1,1
PV5a1,DL5_adPN,2,2,1,2
PV5a1,DM1_lPN,97,7,1,7
PV5a1,DM2_lPN,25,11,2,6
PV5a1,DM3_adPN,28,6,1,6
PV5a1,DM3_vPN,12,5,1,5
PV5a1,DM4_adPN,72,6,1,6
PV5a1,DM4_vPN,1,1,1,1
PV5a1,DM5_lPN,3,2,2,2
PV5a1,DM6_adPN,28,12,4,4
PV5a1,DP1l_adPN,17,4,1,4
PV5a1,DP1l_vPN,17,4,1,4
PV5a1,DP1m_adPN,79,4,1,4
PV5a1,DP1m_vPN,3,3,1,3
PV5a1,VA1v_adPN,1,1,1,1
PV5a1,VA2_adPN,74,5,1,5
PV5a1,VA3_adPN,1,1,1,1
PV5a1,VA4_lPN,11,4,1,4
PV5a1,VA7l_adPN,2,1,1,1
PV5a1,VA7m_lPN,17,6,3,3
PV5a1,VC2_lPN,8,3,1,3
PV5a1,VC3l_adPN,1,1,1,1
PV5a1,VC3m_lvPN,2,2,1,2
PV5a1,VC4_adPN,12,6,3,3
PV5a1,VM1_lPN,4,2,1,2
PV5a1,VM2_adPN,15,9,2,5
PV5a1,VM3_adPN,54,13,2,7
PV5a1,VM7d_adPN,1,1,1,1
PV5a1,VM7v_adPN,3,3,2,2
PV5a1,V_l2PN,2,1,1,1
