type_pre,PD2a1_b1,PV5a1,total_weight
DM1_lPN,290,97,387
DP1m_adPN,143,79,222
DM4_adPN,127,72,199
VA2_adPN,60,74,134
DP1l_adPN,92,17,109
VM3_adPN,38,54,92
DM2_lPN,57,25,82
VA4_lPN,54,11,65
DM3_adPN,18,28,46
DL2v_adPN,34,8,42
DM6_adPN,11,28,39
DL2d_adPN,33,5,38
VA7l_adPN,22,2,24
VM2_adPN,8,15,23
VC4_adPN,8,12,20
DM3_vPN,1,12,13
VC2_lPN,5,8,13
VA3_adPN,12,1,13
VM7v_adPN,9,3,12
DM5_lPN,6,3,9
V_l2PN,7,2,9
VC3l_adPN,8,1,9
VM7d_adPN,8,1,9
DL5_adPN,3,2,5
DP1m_vPN,1,3,4
VA1v_adPN,2,1,3
DL3_lPN,1,1,2
DM4_vPN,1,1,2
