target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PV5a1,635062078,609941228,37,DP1m_adPN,LHPV5a1_a,DP1m_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 37, 'post': 37}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,573683455,31,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 31, 'post': 31}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1977579449,609941228,26,VA2_adPN,LHPV5a1_a,VA2_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 26, 'post': 26}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1977579449,573333284,25,VA2_adPN,LHPV5a1_a,VA2_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 25, 'post': 25}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,635062078,573333284,20,DP1m_adPN,LHPV5a1_a,DP1m_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 20, 'post': 20}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,635062078,604368022,20,DP1m_adPN,LHPV5a1_a,DP1m_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 20, 'post': 20}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,609941228,19,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 19, 'post': 19}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,604368022,18,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 18, 'post': 18}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,609941228,18,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 18, 'post': 18}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,573333284,17,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 17, 'post': 17}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1977579449,604368022,17,VA2_adPN,LHPV5a1_a,VA2_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 17, 'post': 17}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,604368022,14,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 14, 'post': 14}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,573333835,573683455,13,DM4_adPN,LHPV5a1_a,DM4_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 13, 'post': 13}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,1851389175,573683455,13,VM3_adPN,LHPV5a1_a,VM3_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 13, 'post': 13}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,573333284,11,DM1_lPN,LHPV5a1_a,DM1_lPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 11, 'post': 11}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,577546843,11,DM1_lPN,LHPV5a1_b,DM1_lPN_R,LHPV5a1_b_R,"{'LH(R)': {'pre': 11, 'post': 11}}",LHPV5a1_b,LHPV5a1_b_R
PV5a1,1977916288,573683455,10,VM3_adPN,LHPV5a1_a,VM3_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 10, 'post': 10}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,755518957,573683455,8,DM3_adPN,LHPV5a1_a,DM3_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 8, 'post': 8}}",LHPV5a1_a,LHPV5a1_a_R
PV5a1,542634818,573333903,7,DM1_lPN,LHPV5a1_b,DM1_lPN_R,LHPV5a1_b_R,"{'LH(R)': {'pre': 7, 'post': 7}}",LHPV5a1_b,LHPV5a1_b_R
PV5a1,724816115,609941228,7,DP1l_adPN,LHPV5a1_a,DP1l_adPN_R,LHPV5a1_a_R,"{'LH(R)': {'pre': 7, 'post': 7}}",LHPV5a1_a,LHPV5a1_a_R
