,hemibrain_PV5a1,hemibrain_PD2a1_b1,hemibrain_total_weight,flywire_right_PV5a1,flywire_right_PD2a1_b1,flywire_right_total_weight,in_hemibrain,in_flywire_right,in_both_datasets
DM1,97,290,387,357,404,761,True,True,True
DP1m,82,144,226,407,247,654,True,True,True
DM4,73,128,201,321,230,551,True,True,True
VA2,74,60,134,345,193,538,True,True,True
mPN,96,124,220,231,130,361,True,True,True
DL2v,8,34,42,141,88,229,True,True,True
VM3,54,38,92,132,90,222,True,True,True
DP1l,34,92,126,92,98,190,True,True,True
VA7l,2,22,24,2,113,115,True,True,True
DM2,25,57,82,98,9,107,True,True,True
DL2d,10,33,43,35,71,106,True,True,True
VA4,11,54,65,45,57,102,True,True,True
DM3,40,19,59,54,14,68,True,True,True
DM6,28,11,39,60,5,65,True,True,True
VM2,15,8,23,35,19,54,True,True,True
VC4,12,8,20,35,6,41,True,True,True
VC2,8,5,13,31,10,41,True,True,True
VC3l,1,8,9,10,29,39,True,True,True
DM5,3,6,9,14,18,32,True,True,True
VM7d,1,8,9,2,24,26,True,True,True
VA3,1,12,13,19,1,20,True,True,True
VM7v,3,9,12,1,19,20,True,True,True
DL5,2,3,5,14,2,16,True,True,True
V,2,13,15,6,2,8,True,True,True
VM1,0,0,0,16,17,33,False,True,False
VM5d,0,0,0,12,15,27,False,True,False
DC4,0,0,0,2,13,15,False,True,False
VM5v,0,0,0,1,1,2,False,True,False
VA1v,1,4,5,0,0,0,True,False,False
DL3,1,1,2,0,0,0,True,False,False
