post_pt_root_id,mPN_hemibrain_type,mPN_cell_type,mPN_side,input_glomerulus,weight,n_orn_roots
720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,VM2,21,9
720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,VA3,1,1
720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,DC4,6,3
720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,DM3,4,3
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VM5d,12,6
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VA3,6,2
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VM3,2,2
720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VC4,1,1
720575940626959134,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,DM3,7,6
720575940626959134,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,DC4,1,1
720575940628059948,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,VM3,2,2
720575940629083211,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,VM2,46,17
720575940629083211,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,DM5,4,2
720575940629083211,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,VM3,1,1
720575940631942999,"M_vPNml56,M_vPNml58",CB2004,left,DP1m,112,29
720575940631942999,"M_vPNml56,M_vPNml58",CB2004,left,DM1,2,2
720575940631942999,"M_vPNml56,M_vPNml58",CB2004,left,DP1l,1,1
720575940634834544,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,DC4,3,1
720575940634834544,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,VM2,1,1
720575940639138237,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,VM2,16,8
720575940639138237,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,DM5,10,8
720575940639138237,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,VA2,3,1
720575940640007296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,VA2,2,2
720575940640835672,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,DM3,10,8
