id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,orn_hemibrain_type,orn_side,input_glomerulus,mPN_hemibrain_type,mPN_cell_type,mPN_side
372614,79027329728742243,720575940627000582,79027329728750941,720575940631942999,372614,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
948128,79027535887200452,720575940609924306,79027535887195999,720575940631942999,948128,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
948002,79027535887161670,720575940609924306,79027535887154024,720575940631942999,948002,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
3592909,80224285440127480,720575940631595562,80224285440122273,720575940626917393,3592909,AL_R,ORN_VC4,right,VC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
3513657,79238710704572649,720575940624524848,79238710704570402,720575940639138237,3513657,AL_L,ORN_DM5,left,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
176764667,80434635758477598,720575940628358406,80434635758489543,720575940640835672,176764667,AL_R,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
206587270,80153916628680221,720575940611984114,80153916628673131,720575940607198898,206587270,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
206587314,80153916628674216,720575940611984114,80153916628693051,720575940607198898,206587314,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
28613580,79168067217296922,720575940623274935,79168067217279029,720575940631942999,28613580,LAL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
177799128,80153847909281534,720575940629337470,80153847909278850,720575940607198898,177799128,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
948208,79027535887200457,720575940609924306,79027535887200437,720575940631942999,948208,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
172555308,78816223496117096,720575940638513752,78816223496115776,720575940631942999,172555308,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
14300609,78816360934811982,720575940645728132,78816292215337238,720575940631942999,14300609,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23619503,78956823545142523,720575940608376132,78956823545144815,720575940631942999,23619503,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
118906657,79097560967015998,720575940633367377,79097560967019177,720575940631942999,118906657,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23608401,78886523454038253,720575940636767856,78886523454017851,720575940631942999,23608401,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23093534,78957029637158979,720575940628953210,78957029637174293,720575940631942999,23093534,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27749947,78605117263429599,720575940613664874,78605117263417996,720575940631942999,27749947,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27411613,78675554727119655,720575940638513752,78675486007637689,720575940631942999,27411613,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28600127,79238435961447504,720575940627214891,79238435961447514,720575940631942999,28600127,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28602400,79168067217304947,720575940645728132,79168067217293797,720575940631942999,28602400,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23573538,78886523454007267,720575940622745834,78886523454002577,720575940631942999,23573538,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27752301,78816154776472135,720575940628677114,78816154776477435,720575940631942999,27752301,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27752436,78745786032308537,720575940608376132,78745786032302081,720575940631942999,27752436,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27755148,78886523520670490,720575940615696490,78886523520648321,720575940631942999,27755148,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28613478,79097698473064981,720575940633367377,79097698473063826,720575940631942999,28613478,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29254853,78957098423645276,720575940617433142,78957167143154417,720575940631942999,29254853,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27814377,79167998497383618,720575940628953210,79167998497393439,720575940631942999,27814377,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27984052,78675692166075291,720575940642599328,78675692166054652,720575940631942999,27984052,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29601584,80435116794969100,720575940645686564,80435116794965279,720575940617109772,29601584,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
29543874,80435116794965256,720575940645686564,80435116794965279,720575940617109772,29543874,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
200773274,79097423527839674,720575940646221108,79097423527843359,720575940626959134,200773274,AL_L,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
28148212,78957098423294948,720575940642599328,78957098423293680,720575940631942999,28148212,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28148205,78957098423285636,720575940633367377,78957098423298816,720575940631942999,28148205,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27987308,78816429654427242,720575940633883744,78816429654418842,720575940631942999,27987308,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29707524,79028154228123461,720575940623482355,79028154228103111,720575940640007296,29707524,AL_L,ORN_VA2,left,VA2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
29720504,79309354326823364,720575940620979888,79309354326822326,720575940629083211,29720504,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
54312060,78464448494763424,720575940613637782,78464448494757844,720575940631942999,54312060,AL_L,ORN_DP1l,right,DP1l,"M_vPNml56,M_vPNml58",CB2004,left
29487757,80576541477630029,720575940614426799,80576541477661466,720575940626917393,29487757,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
29757266,79168685558075070,720575940637619509,79168685558087065,720575940629083211,29757266,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
29760186,79309423046313848,720575940622441107,79309423046311690,720575940629083211,29760186,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
29677315,79168616838679990,720575940635095321,79168616838679991,720575940629083211,29677315,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
29586518,79379448192889427,720575940630983471,79379448192894070,720575940639138237,29586518,AL_L,ORN_DM5,left,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
