id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,orn_hemibrain_type,orn_side,input_glomerulus,mPN_hemibrain_type,mPN_cell_type,mPN_side
176764667,80434635758477598,720575940628358406,80434635758489543,720575940640835672,176764667,AL_R,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
3592909,80224285440127480,720575940631595562,80224285440122273,720575940626917393,3592909,AL_R,ORN_VC4,right,VC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
206587270,80153916628680221,720575940611984114,80153916628673131,720575940607198898,206587270,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
206587314,80153916628674216,720575940611984114,80153916628693051,720575940607198898,206587314,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
177799128,80153847909281534,720575940629337470,80153847909278850,720575940607198898,177799128,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
29601584,80435116794969100,720575940645686564,80435116794965279,720575940617109772,29601584,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
29543874,80435116794965256,720575940645686564,80435116794965279,720575940617109772,29543874,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
29487757,80576541477630029,720575940614426799,80576541477661466,720575940626917393,29487757,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
52291097,80013316646299174,720575940633250530,80083685390558911,720575940607198898,52291097,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
52298276,80364885489416048,720575940620574817,80364885489428411,720575940626917393,52298276,AL_R,ORN_VM5d,left,VM5d,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
56134231,80224354159443866,720575940624061116,80224354159433101,720575940607198898,56134231,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
177799034,80153847909262716,720575940637619509,80153847909258844,720575940607198898,177799034,AL_R,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
56058451,80787716429689465,720575940643240904,80787716429695108,720575940626917393,56058451,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
176684495,80364335733781547,720575940646221108,80364335733794727,720575940617109772,176684495,AL_R,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
96795220,80083685390892177,720575940612024342,80083685390898797,720575940626917393,96795220,AL_R,ORN_VM3,right,VM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
112196058,80435116795080491,720575940625657530,80435116795078939,720575940617109772,112196058,AL_R,ORN_DC4,left,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
96905468,80013247927135696,720575940638822515,80083616671483194,720575940628059948,96905468,AL_R,ORN_VM3,right,VM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
112196056,80435116795080491,720575940625657530,80435116795078939,720575940617109772,112196056,AL_R,ORN_DC4,left,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
56122397,80364885489413541,720575940620574817,80364885489409668,720575940626917393,56122397,AL_R,ORN_VM5d,left,VM5d,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
111495086,80505279380903183,720575940625583204,80505279380903278,720575940617109772,111495086,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
