bodyId_post,mPN_type,mPN_instance,input_glomerulus,weight,n_orn_bodies
609924156,M_lvPNm39,M_lvPNm39_R,DP1l,80,20
609924156,M_lvPNm39,M_lvPNm39_R,VA2,28,19
609924156,M_lvPNm39,M_lvPNm39_R,DL2v,19,9
609924156,M_lvPNm39,M_lvPNm39_R,VL2a,19,15
609924156,M_lvPNm39,M_lvPNm39_R,VA3,17,11
609924156,M_lvPNm39,M_lvPNm39_R,DP1m,13,8
609924156,M_lvPNm39,M_lvPNm39_R,DL2d,7,4
609924156,M_lvPNm39,M_lvPNm39_R,VL2p,2,2
609924156,M_lvPNm39,M_lvPNm39_R,VA4,1,1
609924156,M_lvPNm39,M_lvPNm39_R,VC2,1,1
697145036,M_vPNml83,M_vPNml83_R,VM5d,9,8
697145036,M_vPNml83,M_vPNml83_R,DC2,3,2
697145036,M_vPNml83,M_vPNml83_R,VC1,3,2
697145036,M_vPNml83,M_vPNml83_R,DC1,1,1
697145036,M_vPNml83,M_vPNml83_R,DM2,1,1
697145036,M_vPNml83,M_vPNml83_R,DM6,1,1
697145036,M_vPNml83,M_vPNml83_R,VM5v,1,1
1447205602,M_vPNml83,M_vPNml83_R,DM6,17,15
1447205602,M_vPNml83,M_vPNml83_R,VM5d,7,5
1447205602,M_vPNml83,M_vPNml83_R,DC4,4,3
1447205602,M_vPNml83,M_vPNml83_R,VM7d,4,4
1447205602,M_vPNml83,M_vPNml83_R,VC4,2,2
1447205602,M_vPNml83,M_vPNml83_R,VM7v,2,2
1447205602,M_vPNml83,M_vPNml83_R,DM2,1,1
1447205602,M_vPNml83,M_vPNml83_R,VC1,1,1
1447205602,M_vPNml83,M_vPNml83_R,VC3l,1,1
1447205602,M_vPNml83,M_vPNml83_R,VM3,1,1
1671952694,M_lvPNm24,M_lvPNm24_R,DP1m,119,34
1671952694,M_lvPNm24,M_lvPNm24_R,V,90,37
1671952694,M_lvPNm24,M_lvPNm24_R,DM1,63,33
1671952694,M_lvPNm24,M_lvPNm24_R,DC1,59,25
1671952694,M_lvPNm24,M_lvPNm24_R,DC4,59,21
1671952694,M_lvPNm24,M_lvPNm24_R,DM4,31,18
1671952694,M_lvPNm24,M_lvPNm24_R,VA6,28,24
1671952694,M_lvPNm24,M_lvPNm24_R,D,23,12
1671952694,M_lvPNm24,M_lvPNm24_R,VA2,20,14
1671952694,M_lvPNm24,M_lvPNm24_R,DM3,18,15
1671952694,M_lvPNm24,M_lvPNm24_R,VC5,12,7
1671952694,M_lvPNm24,M_lvPNm24_R,DL5,11,7
1671952694,M_lvPNm24,M_lvPNm24_R,DA1,9,9
1671952694,M_lvPNm24,M_lvPNm24_R,DM6,9,8
1671952694,M_lvPNm24,M_lvPNm24_R,DP1l,9,5
1671952694,M_lvPNm24,M_lvPNm24_R,DL2d,6,5
1671952694,M_lvPNm24,M_lvPNm24_R,DL2v,4,3
1671952694,M_lvPNm24,M_lvPNm24_R,DM2,4,4
1671952694,M_lvPNm24,M_lvPNm24_R,DC2,3,2
1671952694,M_lvPNm24,M_lvPNm24_R,VC4,3,3
1671952694,M_lvPNm24,M_lvPNm24_R,VA3,2,1
1671952694,M_lvPNm24,M_lvPNm24_R,VA7m,2,2
1671952694,M_lvPNm24,M_lvPNm24_R,DC3,1,1
1671952694,M_lvPNm24,M_lvPNm24_R,DL3,1,1
1671952694,M_lvPNm24,M_lvPNm24_R,DM5,1,1
1671952694,M_lvPNm24,M_lvPNm24_R,VM5d,1,1
1671952694,M_lvPNm24,M_lvPNm24_R,VM7d,1,1
1693827279,M_adPNm8,M_adPNm8_R,DL2v,206,23
1693827279,M_adPNm8,M_adPNm8_R,DP1l,6,4
1700307582,M_l2PNl21,M_l2PNl21_R,DP1m,419,29
1700307582,M_l2PNl21,M_l2PNl21_R,VA2,92,43
