bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,group,anatomy.group,class,cellBodyFiber,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,notes,ALR_n_inputs,ALR_n_ipsi_inputs,ALR_n_contra_inputs,ALL_n_inputs,ALL_n_ipsi_inputs,ALL_n_contra_inputs
5813062199,2047,7699,7699,8199,Traced,lLN1_c_R,2530465824,False,right,lLN1_c,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.084,3,2455,5702,2314,5366,9852.54080849228,2587.89828994435,5996.84154622522,31.4614134450401,9.53339173159762e-08,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),227,151,76,0,0,0
1578826464,1902,7216,7216,7508,Traced,lLN1_c_R,2716176850,True,right,lLN1_c,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.121,3,2207,5221,2092,5098,9754.82020797673,2399.37877436114,5678.10781406413,66.080358151081,3.29554245905861e-05,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),300,140,160,0,0,0
1670597533,1858,6268,6268,7512,Traced,lLN1_a_R,2574881146,True,right,lLN1_a,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.097,3,4008,3477,3288,2960,8570.57585019538,3915.02090695099,3605.93912692955,24.0343073272764,6.14524621194157e-05,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),190,126,64,0,0,0
5813054725,2308,8054,8054,8819,Traced,lLN1_b_R,2909288787,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.164,3,5036,3746,4590,3425,10875.0295623966,5141.46147549416,3933.83707287824,51.1370632434071,4.36144357962576e-07,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),236,157,79,0,0,0
5813054777,2087,8547,8547,8193,Traced,lLN1_b_R,2947674262,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.053,3,4077,4032,4129,4378,11247.7502529802,4812.34533241744,4707.85268981954,74.1914211079233,0.0002186463481209,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),442,265,177,0,0,0
5813130064,2133,6372,6372,8315,Traced,lLN1_a_R,2256235730,False,right,lLN1_a,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.035,3,3071,5135,2274,4080,9331.38640466673,2906.19891026889,5149.59610402565,51.0505499409276,0.0002068189852749,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),266,189,77,0,0,0
5813078440,2532,8664,8664,9651,Traced,lLN1_b_R,3305952797,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.166,3,6067,3504,5327,3304,11531.8879873551,6062.63654857857,3582.57688035668,74.1246893076046,0.0002146057799039,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),155,118,37,0,0,0
1610530558,2091,6906,6906,8313,Traced,lLN1_b_R,2806389988,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.152,3,4871,3350,3981,2902,9091.69431635178,4329.775071797,3338.63380873906,80.0529897518122,0.0001479618820665,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),203,151,52,0,0,0
1640887603,1784,6604,6604,7222,Traced,lLN1_b_R,2613123950,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.166,3,2922,4240,2527,4034,8983.4376091699,3024.84717651267,4617.87005103756,45.5591668161409,0.0003926206236715,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),194,106,88,0,0,0
5813069055,2519,8541,8541,9633,Traced,lLN1_b_R,3147545426,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.171,3,6661,2904,5840,2672,11617.6502097868,6616.05757384645,3020.62351446637,51.2505764307111,8.96261193957804e-05,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),171,115,56,0,0,0
