LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN10_R,1825789179,DL5,3,3,0
lLN10_R,1825789179,DC1,4,4,0
lLN10_R,1825789179,DC4,68,54,14
lLN10_R,1825789179,VM7v,10,6,4
lLN10_R,1825789179,DA2,0,0,0
lLN10_R,1825789179,DA3,9,9,0
lLN10_R,1825789179,DL2v,2,2,0
lLN10_R,1825789179,VM7d,0,0,0
lLN10_R,1825789179,DP1l,1,1,0
lLN10_R,1825789179,DM2,1,1,0
lLN10_R,1825789179,DA4m,0,0,0
lLN10_R,1825789179,,0,0,0
lLN10_R,1825789179,VP4,1,1,0
lLN10_R,1825789179,VP1l,3,3,0
lLN10_R,1825789179,VP1m,58,58,0
lLN10_R,1825789179,VC4,0,0,0
lLN10_R,1825789179,VP5,5,5,0
lLN10_R,1825789179,V,15,15,0
