LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2S(Star)_R,1762359683,D,1,1,0
lLN2S(Star)_R,1762359683,DL5,82,4,78
lLN2S(Star)_R,1762359683,DM3,10,2,8
lLN2S(Star)_R,1762359683,DC1,25,6,19
lLN2S(Star)_R,1762359683,DC2,16,1,15
lLN2S(Star)_R,1762359683,VA6,0,0,0
lLN2S(Star)_R,1762359683,DM1,104,22,82
lLN2S(Star)_R,1762359683,DP1m,116,24,92
lLN2S(Star)_R,1762359683,DL2d,50,3,47
lLN2S(Star)_R,1762359683,DM4,45,12,33
lLN2S(Star)_R,1762359683,DC4,34,7,27
lLN2S(Star)_R,1762359683,DL1,80,8,72
lLN2S(Star)_R,1762359683,DM6,8,1,7
lLN2S(Star)_R,1762359683,DL2v,54,6,48
lLN2S(Star)_R,1762359683,DA2,0,0,0
lLN2S(Star)_R,1762359683,VP1d,165,165,0
lLN2S(Star)_R,1762359683,DP1l,113,25,88
lLN2S(Star)_R,1762359683,VL2p,122,44,78
lLN2S(Star)_R,1762359683,DM2,13,5,8
lLN2S(Star)_R,1762359683,VL2a,94,9,85
lLN2S(Star)_R,1762359683,DA3,0,0,0
lLN2S(Star)_R,1762359683,VM7d,0,0,0
lLN2S(Star)_R,1762359683,VP4,119,65,54
lLN2S(Star)_R,1762359683,,0,0,0
lLN2S(Star)_R,1762359683,VM7v,3,1,2
lLN2S(Star)_R,1762359683,VM6,2,0,2
lLN2S(Star)_R,1762359683,DC3,1,1,0
lLN2S(Star)_R,1762359683,VC3,14,3,11
lLN2S(Star)_R,1762359683,VC1,19,1,18
lLN2S(Star)_R,1762359683,VM5d,0,0,0
lLN2S(Star)_R,1762359683,VP1l,38,38,0
lLN2S(Star)_R,1762359683,VP1m,28,28,0
lLN2S(Star)_R,1762359683,VM5v,0,0,0
lLN2S(Star)_R,1762359683,VA3,8,2,6
lLN2S(Star)_R,1762359683,VC4,0,0,0
lLN2S(Star)_R,1762359683,VA7m,0,0,0
lLN2S(Star)_R,1762359683,VP2,6,6,0
lLN2S(Star)_R,1762359683,VA2,0,0,0
lLN2S(Star)_R,1762359683,VC5,0,0,0
lLN2S(Star)_R,1762359683,VC2,0,0,0
lLN2S(Star)_R,1762359683,VA7l,0,0,0
lLN2S(Star)_R,1762359683,VL1,170,170,0
lLN2S(Star)_R,1762359683,VM4,0,0,0
lLN2S(Star)_R,1762359683,VA5,0,0,0
lLN2S(Star)_R,1762359683,VA4,0,0,0
