LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN37_R,1916485259,DL2d,1,0,1
v2LN37_R,1916485259,DA1,258,197,61
v2LN37_R,1916485259,DL2v,33,30,3
v2LN37_R,1916485259,DP1m,3,3,0
v2LN37_R,1916485259,DM1,2,1,1
v2LN37_R,1916485259,DM4,4,4,0
v2LN37_R,1916485259,DP1l,89,86,3
v2LN37_R,1916485259,DC3,3,3,0
v2LN37_R,1916485259,VC3,3,2,1
v2LN37_R,1916485259,VA3,24,24,0
v2LN37_R,1916485259,VA7l,0,0,0
v2LN37_R,1916485259,VA2,1,1,0
v2LN37_R,1916485259,VC4,0,0,0
v2LN37_R,1916485259,VM3,4,4,0
v2LN37_R,1916485259,VC5,0,0,0
v2LN37_R,1916485259,VA4,0,0,0
v2LN37_R,1916485259,,0,0,0
v2LN37_R,1916485259,VP3,1,1,0
v2LN37_R,1916485259,VA1v,0,0,0
