LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN3a_R,1730996778,DP1m,87,83,4
v2LN3a_R,1730996778,DM4,23,19,4
v2LN3a_R,1730996778,DM1,17,11,6
v2LN3a_R,1730996778,DC4,1,0,1
v2LN3a_R,1730996778,DC1,1,1,0
v2LN3a_R,1730996778,DP1l,39,37,2
v2LN3a_R,1730996778,DM2,1,1,0
v2LN3a_R,1730996778,DL2d,2,1,1
v2LN3a_R,1730996778,DC2,8,8,0
v2LN3a_R,1730996778,VL2a,4,4,0
v2LN3a_R,1730996778,VM5d,0,0,0
v2LN3a_R,1730996778,VA3,1,1,0
v2LN3a_R,1730996778,VC1,3,3,0
v2LN3a_R,1730996778,VM5v,0,0,0
v2LN3a_R,1730996778,VL2p,8,8,0
v2LN3a_R,1730996778,VA2,0,0,0
v2LN3a_R,1730996778,VA7m,0,0,0
v2LN3a_R,1730996778,VA4,0,0,0
v2LN3a_R,1730996778,VC3,1,1,0
v2LN3a_R,1730996778,VM3,2,2,0
