LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
vLN25_R,5813018729,DP1m,10,10,0
vLN25_R,5813018729,DP1l,169,163,6
vLN25_R,5813018729,DL2v,6,6,0
vLN25_R,5813018729,VL2a,209,203,6
vLN25_R,5813018729,VM6,0,0,0
vLN25_R,5813018729,DC3,7,7,0
vLN25_R,5813018729,VP1d,2,2,0
vLN25_R,5813018729,VA3,18,18,0
vLN25_R,5813018729,VL2p,258,251,7
vLN25_R,5813018729,VP4,1,1,0
vLN25_R,5813018729,VA7l,0,0,0
vLN25_R,5813018729,VP2,10,10,0
vLN25_R,5813018729,,0,0,0
vLN25_R,5813018729,VA5,0,0,0
vLN25_R,5813018729,VP3,2,2,0
vLN25_R,5813018729,VC5,1,1,0
vLN25_R,5813018729,VM1,3,3,0
vLN25_R,5813018729,VM4,1,1,0
