LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
vLN25,1794037618,DP1m,18,18,0
vLN25,1794037618,DL2v,76,76,0
vLN25,1794037618,DL1,17,15,2
vLN25,1794037618,DP1l,236,224,12
vLN25,1794037618,DL2d,51,49,2
vLN25,1794037618,VL2a,235,222,13
vLN25,1794037618,VM6,0,0,0
vLN25,1794037618,DC3,2,2,0
vLN25,1794037618,VA3,26,26,0
vLN25,1794037618,VA6,0,0,0
vLN25,1794037618,VL2p,128,117,11
vLN25,1794037618,VA1v,0,0,0
vLN25,1794037618,VA7l,0,0,0
vLN25,1794037618,VP2,3,3,0
vLN25,1794037618,,0,0,0
vLN25,1794037618,VA5,0,0,0
vLN25,1794037618,VC5,0,0,0
vLN25,1794037618,VP5,2,2,0
vLN25,1794037618,VM1,0,0,0
