LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_b_R,1640887603,DA1,7,3,4
lLN1_b_R,1640887603,DL5,2,2,0
lLN1_b_R,1640887603,D,0,0,0
lLN1_b_R,1640887603,DP1m,5,2,3
lLN1_b_R,1640887603,DC4,8,3,5
lLN1_b_R,1640887603,DC2,9,6,3
lLN1_b_R,1640887603,DC1,12,10,2
lLN1_b_R,1640887603,DM6,3,1,2
lLN1_b_R,1640887603,DM2,39,8,31
lLN1_b_R,1640887603,DL2d,3,0,3
lLN1_b_R,1640887603,DL1,3,1,2
lLN1_b_R,1640887603,DP1l,2,0,2
lLN1_b_R,1640887603,VL2p,23,14,9
lLN1_b_R,1640887603,VL2a,22,5,17
lLN1_b_R,1640887603,DM1,0,0,0
lLN1_b_R,1640887603,DC3,0,0,0
lLN1_b_R,1640887603,DA2,0,0,0
lLN1_b_R,1640887603,VM7d,0,0,0
lLN1_b_R,1640887603,,0,0,0
lLN1_b_R,1640887603,VP4,1,0,1
lLN1_b_R,1640887603,VP1d,19,19,0
lLN1_b_R,1640887603,VA1d,0,0,0
lLN1_b_R,1640887603,VA6,0,0,0
lLN1_b_R,1640887603,VM5d,0,0,0
lLN1_b_R,1640887603,VP1l,6,6,0
lLN1_b_R,1640887603,VP1m,2,2,0
lLN1_b_R,1640887603,VM5v,0,0,0
lLN1_b_R,1640887603,VM6,0,0,0
lLN1_b_R,1640887603,VC4,0,0,0
lLN1_b_R,1640887603,VC1,2,1,1
lLN1_b_R,1640887603,VP2,5,5,0
lLN1_b_R,1640887603,VA4,0,0,0
lLN1_b_R,1640887603,VC3,1,1,0
lLN1_b_R,1640887603,VA1v,0,0,0
lLN1_b_R,1640887603,VC5,0,0,0
lLN1_b_R,1640887603,VA7m,0,0,0
lLN1_b_R,1640887603,VA2,0,0,0
lLN1_b_R,1640887603,VA3,1,0,1
lLN1_b_R,1640887603,VM4,0,0,0
lLN1_b_R,1640887603,VL1,10,10,0
lLN1_b_R,1640887603,V,6,6,0
lLN1_b_R,1640887603,VA5,0,0,0
lLN1_b_R,1640887603,DL2v,1,1,0
lLN1_b_R,1640887603,DL4,1,0,1
