LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2F_b(Full)_R,1640909284,DM3,227,62,165
lLN2F_b(Full)_R,1640909284,DL5,221,34,187
lLN2F_b(Full)_R,1640909284,D,5,5,0
lLN2F_b(Full)_R,1640909284,DA1,610,72,538
lLN2F_b(Full)_R,1640909284,DL3,27,9,18
lLN2F_b(Full)_R,1640909284,DL4,175,24,151
lLN2F_b(Full)_R,1640909284,DC1,264,76,188
lLN2F_b(Full)_R,1640909284,DC2,261,40,221
lLN2F_b(Full)_R,1640909284,DM1,892,205,687
lLN2F_b(Full)_R,1640909284,DP1m,1000,263,737
lLN2F_b(Full)_R,1640909284,DL2d,240,59,181
lLN2F_b(Full)_R,1640909284,DM4,342,86,256
lLN2F_b(Full)_R,1640909284,DC4,504,132,372
lLN2F_b(Full)_R,1640909284,VA6,0,0,0
lLN2F_b(Full)_R,1640909284,DL1,260,58,202
lLN2F_b(Full)_R,1640909284,VM7v,137,35,102
lLN2F_b(Full)_R,1640909284,DM6,121,20,101
lLN2F_b(Full)_R,1640909284,DM2,77,26,51
lLN2F_b(Full)_R,1640909284,DL2v,426,122,304
lLN2F_b(Full)_R,1640909284,DA2,0,0,0
lLN2F_b(Full)_R,1640909284,DA3,0,0,0
lLN2F_b(Full)_R,1640909284,VP1d,88,88,0
lLN2F_b(Full)_R,1640909284,DP1l,356,104,252
lLN2F_b(Full)_R,1640909284,VL2p,323,86,237
lLN2F_b(Full)_R,1640909284,VL2a,808,230,578
lLN2F_b(Full)_R,1640909284,VM7d,0,0,0
lLN2F_b(Full)_R,1640909284,,0,0,0
lLN2F_b(Full)_R,1640909284,DC3,24,24,0
lLN2F_b(Full)_R,1640909284,VM6,18,0,18
lLN2F_b(Full)_R,1640909284,VC2,0,0,0
lLN2F_b(Full)_R,1640909284,DA4l,0,0,0
lLN2F_b(Full)_R,1640909284,VC3,175,48,127
lLN2F_b(Full)_R,1640909284,VC1,127,20,107
lLN2F_b(Full)_R,1640909284,VP4,6,6,0
lLN2F_b(Full)_R,1640909284,VA1d,2,2,0
lLN2F_b(Full)_R,1640909284,VA1v,7,7,0
lLN2F_b(Full)_R,1640909284,VM5d,0,0,0
lLN2F_b(Full)_R,1640909284,VA3,14,4,10
lLN2F_b(Full)_R,1640909284,VM5v,0,0,0
lLN2F_b(Full)_R,1640909284,VP1l,90,90,0
lLN2F_b(Full)_R,1640909284,VP1m,299,299,0
lLN2F_b(Full)_R,1640909284,VA7m,0,0,0
lLN2F_b(Full)_R,1640909284,VC4,0,0,0
lLN2F_b(Full)_R,1640909284,VA7l,10,0,10
lLN2F_b(Full)_R,1640909284,VA2,1,1,0
lLN2F_b(Full)_R,1640909284,VP2,104,104,0
lLN2F_b(Full)_R,1640909284,VA4,0,0,0
lLN2F_b(Full)_R,1640909284,VM2,0,0,0
lLN2F_b(Full)_R,1640909284,VP3,79,79,0
lLN2F_b(Full)_R,1640909284,VC5,9,9,0
lLN2F_b(Full)_R,1640909284,VP5,31,31,0
lLN2F_b(Full)_R,1640909284,VM4,0,0,0
lLN2F_b(Full)_R,1640909284,VA5,0,0,0
lLN2F_b(Full)_R,1640909284,VM1,1,1,0
lLN2F_b(Full)_R,1640909284,V,611,611,0
