LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_e(Tortuous)_R,1640922516,DM3,59,31,28
lLN2T_e(Tortuous)_R,1640922516,DL5,25,10,15
lLN2T_e(Tortuous)_R,1640922516,D,0,0,0
lLN2T_e(Tortuous)_R,1640922516,DA1,93,40,53
lLN2T_e(Tortuous)_R,1640922516,DL3,37,22,15
lLN2T_e(Tortuous)_R,1640922516,DL4,75,51,24
lLN2T_e(Tortuous)_R,1640922516,DC2,39,19,20
lLN2T_e(Tortuous)_R,1640922516,VA6,0,0,0
lLN2T_e(Tortuous)_R,1640922516,DC1,66,52,14
lLN2T_e(Tortuous)_R,1640922516,DM1,104,62,42
lLN2T_e(Tortuous)_R,1640922516,DP1m,91,46,45
lLN2T_e(Tortuous)_R,1640922516,DL2d,9,5,4
lLN2T_e(Tortuous)_R,1640922516,DM4,71,41,30
lLN2T_e(Tortuous)_R,1640922516,DL1,21,13,8
lLN2T_e(Tortuous)_R,1640922516,DC4,54,14,40
lLN2T_e(Tortuous)_R,1640922516,DM2,181,57,124
lLN2T_e(Tortuous)_R,1640922516,DL2v,13,7,6
lLN2T_e(Tortuous)_R,1640922516,DA2,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VP1d,18,18,0
lLN2T_e(Tortuous)_R,1640922516,DP1l,18,9,9
lLN2T_e(Tortuous)_R,1640922516,DM6,3,2,1
lLN2T_e(Tortuous)_R,1640922516,DA3,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VL2a,104,22,82
lLN2T_e(Tortuous)_R,1640922516,DM5,0,0,0
lLN2T_e(Tortuous)_R,1640922516,DC3,13,13,0
lLN2T_e(Tortuous)_R,1640922516,VM7v,5,2,3
lLN2T_e(Tortuous)_R,1640922516,VC2,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VM7d,0,0,0
lLN2T_e(Tortuous)_R,1640922516,DA4m,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VM6,1,0,1
lLN2T_e(Tortuous)_R,1640922516,VC3,14,11,3
lLN2T_e(Tortuous)_R,1640922516,,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VA1d,1,1,0
lLN2T_e(Tortuous)_R,1640922516,VM5d,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VL2p,14,9,5
lLN2T_e(Tortuous)_R,1640922516,VM5v,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VA1v,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VP1l,2,2,0
lLN2T_e(Tortuous)_R,1640922516,VA3,3,2,1
lLN2T_e(Tortuous)_R,1640922516,VP4,1,1,0
lLN2T_e(Tortuous)_R,1640922516,VC1,11,8,3
lLN2T_e(Tortuous)_R,1640922516,VP1m,9,9,0
lLN2T_e(Tortuous)_R,1640922516,VC4,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VA7m,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VA2,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VA7l,1,0,1
lLN2T_e(Tortuous)_R,1640922516,VC5,2,2,0
lLN2T_e(Tortuous)_R,1640922516,VM3,8,8,0
lLN2T_e(Tortuous)_R,1640922516,VA4,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VA5,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VL1,25,25,0
lLN2T_e(Tortuous)_R,1640922516,VM1,0,0,0
lLN2T_e(Tortuous)_R,1640922516,V,59,59,0
lLN2T_e(Tortuous)_R,1640922516,VM4,0,0,0
lLN2T_e(Tortuous)_R,1640922516,VP2,1,1,0
