LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_d(Tortuous)_R,1669924220,DM3,171,62,109
lLN2T_d(Tortuous)_R,1669924220,DA1,224,71,153
lLN2T_d(Tortuous)_R,1669924220,DL5,26,9,17
lLN2T_d(Tortuous)_R,1669924220,DC2,30,5,25
lLN2T_d(Tortuous)_R,1669924220,VA6,0,0,0
lLN2T_d(Tortuous)_R,1669924220,DM1,415,144,271
lLN2T_d(Tortuous)_R,1669924220,DP1m,457,132,325
lLN2T_d(Tortuous)_R,1669924220,DL2d,58,24,34
lLN2T_d(Tortuous)_R,1669924220,DM4,89,39,50
lLN2T_d(Tortuous)_R,1669924220,DM6,132,46,86
lLN2T_d(Tortuous)_R,1669924220,DM2,79,30,49
lLN2T_d(Tortuous)_R,1669924220,DL2v,182,55,127
lLN2T_d(Tortuous)_R,1669924220,DC4,6,4,2
lLN2T_d(Tortuous)_R,1669924220,DL1,4,1,3
lLN2T_d(Tortuous)_R,1669924220,DP1l,202,82,120
lLN2T_d(Tortuous)_R,1669924220,VL2p,147,63,84
lLN2T_d(Tortuous)_R,1669924220,VL2a,159,48,111
lLN2T_d(Tortuous)_R,1669924220,DC3,8,8,0
lLN2T_d(Tortuous)_R,1669924220,VC3,17,6,11
lLN2T_d(Tortuous)_R,1669924220,VA1d,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VM5d,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VA3,6,4,2
lLN2T_d(Tortuous)_R,1669924220,VM7d,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VM5v,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VA1v,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VC4,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VC1,1,1,0
lLN2T_d(Tortuous)_R,1669924220,VA7m,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VA7l,2,0,2
lLN2T_d(Tortuous)_R,1669924220,VA2,0,0,0
lLN2T_d(Tortuous)_R,1669924220,,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VA4,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VC2,0,0,0
lLN2T_d(Tortuous)_R,1669924220,VM3,4,4,0
lLN2T_d(Tortuous)_R,1669924220,VL1,85,85,0
lLN2T_d(Tortuous)_R,1669924220,VP1d,1,1,0
